year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1979,52,152444,246442,4453090,4285649,26562,11.040,14853,6.174,724601,195155,529446,4.554,16.908,390761,101664,289097,2.372,9.118,333840,7.790,18.236,8970,9022,37081
1979,53,179084,189104,1125863,1078934,32132,17.393,23399,12.666,307935,124893,183042,11.576,28.541,214597,95191,119406,8.823,19.890,93338,8.651,39.779,18440,18491,63375
1979,54,252616,268576,2447778,2338143,44477,17.120,26928,10.365,536671,194067,342604,8.300,22.953,316215,126175,190040,5.396,13.524,220456,9.429,27.048,19670,19867,79234
1979,55,20026,37773,2573911,2501924,4305,11.619,2862,7.724,463418,144587,318831,5.779,18.522,317598,78274,239324,3.129,12.694,145820,5.828,25.388,424,429,4563
1979,56,118878,132615,2210321,2089591,27797,21.873,16740,13.172,628599,210326,418273,10.065,30.082,387319,128732,258587,6.161,18.536,241280,11.547,37.071,12674,12749,76702
1979,61,31267,33268,1322093,1270503,4198,12.804,3233,9.861,205024,29451,175573,2.318,16.137,100969,22803,78166,1.795,7.947,104055,8.190,15.894,2437,2472,14789
1979,62,330209,359024,6201180,6022531,38741,11.061,21170,6.044,872059,266208,605851,4.420,14.480,517018,176398,340620,2.929,8.585,355041,5.895,17.169,15363,15544,115847
1979,71,44797,46893,702673,677609,7745,16.905,5589,12.199,170867,51671,119196,7.625,25.216,120266,38592,81674,5.695,17.749,50601,7.468,35.497,4112,4136,27251
1979,72,292344,351803,5545298,5396968,58838,16.929,50336,14.483,1394643,713476,681167,13.220,25.841,1102709,458360,644349,8.493,20.432,291934,5.409,40.864,36305,36831,294744
1979,81,443977,478797,3339242,3255633,59940,12.707,45793,9.708,680922,227404,453518,6.985,20.915,514036,168849,345187,5.186,15.789,166886,5.126,31.578,33675,34001,116391
1980,11,19979,20586,187244,187524,3282,15.900,3392,16.433,45617,16313,29304,8.699,24.326,46386,15232,31154,8.123,24.736,-769,-0.410,48.652,2581,2581,10799
1980,21,21123,26896,856047,839820,4357,16.594,3077,11.719,172642,56482,116160,6.725,20.557,140104,45587,94517,5.428,16.683,32538,3.874,33.365,1988,2030,21654
1980,22,5956,12215,698989,691119,576,4.731,495,4.066,43076,11276,31800,1.632,6.233,27477,7856,19621,1.137,3.976,15599,2.257,7.951,279,281,1162
1980,23,439875,445342,4425748,4484988,71355,15.875,79623,17.715,1094242,323687,770555,7.217,24.398,1213112,352289,860823,7.855,27.048,-118870,-2.650,48.796,61255,61282,259369
1980,31-33,265485,313960,18723168,18891316,32373,10.387,27798,8.919,1970466,501421,1469045,2.654,10.431,2312873,596647,1716226,3.158,12.243,-342407,-1.813,20.861,19907,20052,239056
1980,42,253004,325201,4133218,4119198,34796,10.781,29914,9.268,640126,209310,430816,5.081,15.540,612058,221283,390775,5.372,14.859,28068,0.681,29.717,19377,19709,100513
1980,44-45,751969,1024896,10287781,10360906,115236,11.266,111217,10.873,1581024,702633,878391,6.782,15.260,1723049,553389,1169660,5.341,16.630,-142025,-1.371,30.519,76699,78811,321979
1980,48-49,94432,115730,2561616,2581354,17549,15.234,16485,14.310,384412,129369,255043,5.012,14.892,423697,112050,311647,4.341,16.414,-39285,-1.522,29.784,12621,12694,61862
1980,51,42716,67357,2348527,2311451,8455,12.787,5983,9.049,488495,84453,404042,3.654,21.134,414681,67863,346818,2.936,17.940,73814,3.193,35.881,3815,3905,31844
1980,52,154840,251693,4656623,4560665,23247,9.333,18045,7.244,632321,182610,449711,4.004,13.865,440791,130816,309975,2.868,9.665,191530,4.200,19.330,10457,10542,46740
1980,53,179087,189264,1117294,1120656,28713,15.176,28576,15.104,265875,110291,155584,9.842,23.725,271891,116248,155643,10.373,24.262,-6016,-0.537,47.450,22634,22698,78296
1980,54,265503,281999,2581489,2520106,44585,16.193,31266,11.355,497917,184938,312979,7.339,19.758,374749,138891,235858,5.511,14.870,123168,4.887,29.741,22986,23124,88879
1980,55,20555,38896,2649333,2607973,3974,10.366,2855,7.447,417351,122159,295192,4.684,16.003,332589,96856,235733,3.714,12.753,84762,3.250,25.506,568,592,6517
1980,56,127004,141566,2316782,2265880,27862,20.319,18975,13.838,557295,200093,357202,8.831,24.595,456030,130914,325116,5.778,20.126,101265,4.469,40.252,14453,14514,79128
1980,61,31547,33581,1382196,1358667,3715,11.116,3395,10.158,158308,22081,136227,1.625,11.652,111969,22442,89527,1.652,8.241,46339,3.411,16.482,2657,2676,15679
1980,62,344307,374695,6403532,6287675,39597,10.801,23434,6.392,791406,252099,539307,4.009,12.587,558672,180716,377956,2.874,8.885,232734,3.701,17.770,16958,17141,115859
1980,71,46296,48619,717424,710834,7783,16.297,6062,12.693,144337,50864,93473,7.156,20.305,131216,40970,90246,5.764,18.459,13121,1.846,36.919,4519,4539,27158
1980,72,291927,354375,5647126,5597816,55531,15.725,53046,15.022,1305449,694110,611339,12.400,23.321,1209523,484436,725087,8.654,21.607,95926,1.714,43.214,38592,39176,309516
1980,81,447746,483872,3353620,3349813,55396,11.507,50497,10.489,586032,205687,380345,6.140,17.494,578618,174510,404108,5.210,17.273,7414,0.221,34.546,37569,37854,123200
1981,11,19219,19812,179027,182599,2810,13.944,3489,17.314,41602,14777,26825,8.093,22.783,48798,19376,29422,10.611,26.724,-7196,-3.941,45.567,2486,2489,11514
1981,21,23905,29997,957180,907357,6176,21.693,3121,10.963,231885,79856,152029,8.801,25.556,131905,47854,84051,5.274,14.537,99980,11.019,29.075,2074,2092,24386
1981,22,5957,12293,722431,712097,628,5.142,467,3.824,44030,9482,34548,1.332,6.183,23486,6418,17068,0.901,3.298,20544,2.885,6.596,258,259,1364
1981,23,420897,426472,4275589,4349393,62263,14.287,80905,18.565,1046796,310936,735860,7.149,24.068,1191108,342837,848271,7.882,27.386,-144312,-3.318,48.135,60930,60965,257431
1981,31-33,273376,322208,18176645,18443451,35503,11.163,27186,8.548,1894407,645682,1248725,3.501,10.271,2427569,609116,1818453,3.303,13.162,-533162,-2.891,20.543,19702,19851,231667
1981,42,259180,333400,4215961,4170606,38395,11.665,29913,9.088,710465,279054,431411,6.691,17.035,619666,208462,411204,4.998,14.858,90799,2.177,29.716,20372,20803,107878
1981,44-45,743367,1028989,10227838,10256298,116704,11.371,111377,10.852,1614408,737052,877356,7.186,15.741,1669470,551734,1117736,5.379,16.278,-55062,-0.537,31.481,77947,80673,330474
1981,48-49,93849,115991,2503308,2535965,16677,14.400,16321,14.093,349170,128410,220760,5.064,13.769,414113,116619,297494,4.599,16.330,-64943,-2.561,27.537,12378,12426,64583
1981,51,45423,70302,2445720,2397345,9408,13.671,6443,9.362,493869,96129,397740,4.010,20.601,403254,70110,333144,2.924,16.821,90615,3.780,33.642,4128,4204,33511
1981,52,156585,256762,4908946,4775986,24778,9.747,19657,7.733,756754,227828,528926,4.770,15.845,492694,174054,318640,3.644,10.316,264060,5.529,20.632,11339,11441,66280
1981,53,176253,187079,1141188,1126033,26859,14.289,28637,15.235,267523,119666,147857,10.627,23.758,237541,100971,136570,8.967,21.095,29982,2.663,42.191,22605,22727,70151
1981,54,277791,295631,2754113,2667522,47579,16.483,33644,11.655,559725,217256,342469,8.144,20.983,385366,138524,246842,5.193,14.447,174359,6.536,28.893,25244,25420,90298
1981,55,21463,41359,2768294,2713183,4934,12.260,2707,6.726,457415,157298,300117,5.798,16.859,346346,66479,279867,2.450,12.765,111069,4.094,25.531,565,576,5837
1981,56,134601,150257,2353590,2332432,29084,19.929,20452,14.014,549266,213818,335448,9.167,23.549,506806,145527,361279,6.239,21.729,42460,1.820,43.457,15688,15800,91210
1981,61,31927,34035,1449874,1418870,3758,11.098,3413,10.079,166693,25598,141095,1.804,11.748,104225,21933,82292,1.546,7.346,62468,4.403,14.691,2638,2662,14299
1981,62,360647,393421,6791651,6607221,43255,11.265,24350,6.342,921177,330263,590914,4.999,13.942,548436,180507,367929,2.732,8.301,372741,5.641,16.601,18024,18205,122759
1981,71,47839,50263,745316,731979,7889,15.966,6186,12.519,151513,59830,91683,8.174,20.699,124382,37255,87127,5.090,16.993,27131,3.707,33.985,4581,4602,25217
1981,72,292409,357812,5758792,5701946,55568,15.609,51958,14.595,1255399,696650,558749,12.218,22.017,1141652,459623,682029,8.061,20.022,113747,1.995,40.044,38390,39131,313770
1981,81,448241,485398,3404850,3379602,54373,11.221,52669,10.870,615503,224469,391034,6.642,18.212,565762,188908,376854,5.590,16.740,49741,1.472,33.481,38655,39097,134521
1982,11,17956,18614,169727,172430,2600,13.649,3469,18.211,42832,16078,26754,9.324,24.840,48086,16623,31463,9.640,27.887,-5254,-3.047,49.681,2415,2420,11377
1982,21,26368,32811,1015349,986948,6786,21.576,4066,12.928,258661,90545,168116,9.174,26.208,202790,72956,129834,7.392,20.547,55871,5.661,41.094,2754,2774,32204
1982,22,5859,12240,747598,735518,449,3.670,439,3.588,47955,7461,40494,1.014,6.520,24210,4792,19418,0.652,3.292,23745,3.228,6.583,282,282,1590
1982,23,389008,395108,3890763,4057083,54293,13.255,83299,20.336,923817,265413,658404,6.542,22.770,1256974,369877,887097,9.117,30.982,-333157,-8.212,45.541,58288,58321,267344
1982,31-33,274415,323358,17333155,17788356,30735,9.502,30920,9.559,1675883,452339,1223544,2.543,9.421,2585992,606576,1979416,3.410,14.538,-910109,-5.116,18.842,22456,22624,254477
1982,42,263183,338168,4210113,4220640,37883,11.245,35346,10.492,729310,246642,482668,5.844,17.280,751569,254002,497567,6.018,17.807,-22259,-0.527,34.559,23045,23442,127864
1982,44-45,726514,1024171,10136388,10181592,119312,11.624,123796,12.061,1701101,717243,983858,7.045,16.708,1790074,626977,1163097,6.158,17.581,-88973,-0.874,33.415,85247,87900,362008
1982,48-49,92470,115525,2438976,2473386,16489,14.267,16588,14.353,345959,114980,230979,4.649,13.987,414286,110423,303863,4.464,16.750,-68327,-2.762,27.975,12449,12543,66918
1982,51,46650,72158,2451793,2446692,9298,13.086,7087,9.974,323976,97764,226212,3.996,13.241,315080,66891,248189,2.734,12.878,8896,0.364,25.756,4917,4996,37990
1982,52,156531,256712,4767022,4724332,22271,8.683,21802,8.501,613957,177314,436643,3.753,12.996,526357,161179,365178,3.412,11.141,87600,1.854,22.283,12771,12893,69579
1982,53,169260,180914,1123969,1133803,24703,13.451,30177,16.432,249244,103071,146173,9.091,21.983,267982,110282,157700,9.727,23.636,-18738,-1.653,43.966,23803,23881,80421
1982,54,279427,298145,2659810,2620822,48508,16.529,39178,13.349,574024,230411,343613,8.792,21.902,498633,188532,310101,7.194,19.026,75391,2.877,38.052,29529,29690,122142
1982,55,22131,42820,2807631,2794058,4660,11.058,3305,7.842,522373,182875,339498,6.545,18.696,492294,116340,375954,4.164,17.619,30079,1.077,35.239,644,657,8487
1982,56,146269,164135,2559532,2529838,30404,18.979,22524,14.060,604032,209745,394287,8.291,23.876,545384,169384,376000,6.695,21.558,58648,2.318,43.116,17127,17185,100379
1982,61,31671,34126,1494966,1484195,3703,10.872,3572,10.487,157772,27144,130628,1.829,10.630,135950,22796,113154,1.536,9.160,21822,1.470,18.320,2732,2744,15146
1982,62,375013,410873,7086050,6963757,44410,11.013,29131,7.224,922987,312357,610630,4.485,13.254,677899,207803,470096,2.984,9.735,245088,3.519,19.469,22092,22330,149084
1982,71,48957,51881,769914,757561,8885,17.404,7227,14.156,159583,58688,100895,7.747,21.065,134884,43414,91470,5.731,17.805,24699,3.260,35.610,5493,5516,33592
1982,72,288274,356850,5843831,5804552,53994,15.109,55002,15.391,1345954,685081,660873,11.802,23.188,1264101,520061,744040,8.960,21.778,81853,1.410,43.556,41523,42185,348000
1982,81,450085,488242,3457565,3445573,55528,11.389,54186,11.113,645481,225132,420349,6.534,18.734,618519,189988,428531,5.514,17.951,26962,0.783,35.902,39571,39865,132514
1983,11,18120,18748,168654,169958,2903,15.495,2877,15.356,42752,15297,27455,9.000,25.155,45330,16240,29090,9.555,26.671,-2578,-1.517,50.309,2057,2063,10483
1983,21,25452,31664,789171,904433,4318,13.355,5654,17.487,119535,50457,69078,5.579,13.217,350759,88319,262440,9.765,38.782,-231224,-25.566,26.433,3930,3957,42313
1983,22,5668,12090,751781,747532,585,4.864,458,3.808,51811,14999,36812,2.006,6.931,43054,6092,36962,0.815,5.759,8757,1.171,11.519,226,229,1048
1983,23,391645,397637,3789423,3867634,63585,16.019,62169,15.662,957724,289415,668309,7.483,24.763,1114938,290990,823948,7.524,28.827,-157214,-4.065,49.525,43906,43953,205678
1983,31-33,274849,322833,16186019,16783295,30043,9.297,30693,9.498,1566186,398169,1168017,2.372,9.332,2761287,610157,2151130,3.636,16.453,-1195101,-7.121,18.664,22079,22260,251408
1983,42,265869,340029,4074683,4141743,37785,11.150,35471,10.467,632393,215774,416619,5.210,15.269,765880,246771,519109,5.958,18.492,-133487,-3.223,30.538,23278,23799,130193
1983,44-45,731044,1029784,10129839,10142607,119763,11.656,115192,11.211,1679322,715624,963698,7.056,16.557,1707460,653753,1053707,6.446,16.835,-28138,-0.277,33.114,75736,78535,329330
1983,48-49,93226,116154,2371629,2405518,17093,14.749,16568,14.296,365829,126583,239246,5.262,15.208,432574,131371,301203,5.461,17.983,-66745,-2.775,30.416,11556,11676,64063
1983,51,47848,71591,2447535,2468964,9797,13.629,10387,14.449,710011,116149,S,4.704,28.757,765424,311514,453910,12.617,31.002,-55413,-2.244,57.515,4871,4978,37580
1983,52,165069,267432,4976749,4817636,33797,12.927,21833,8.351,906366,317759,588607,6.596,18.814,588352,204970,383382,4.255,12.212,318014,6.601,24.425,12367,12554,99632
1983,53,170302,182251,1139746,1134388,26909,14.811,25773,14.186,261988,114104,147884,10.059,23.095,251957,107450,144507,9.472,22.211,10031,0.884,44.422,19499,19591,71741
1983,54,314590,335272,2943281,2913014,57825,17.818,36336,11.197,568010,239432,328578,8.219,19.499,508355,168419,339936,5.782,17.451,59655,2.048,34.902,26294,26551,107012
1983,55,22683,42569,2751064,2780568,4164,9.754,4405,10.319,445061,134943,310118,4.853,16.006,503635,121085,382550,4.355,18.113,-58574,-2.107,32.012,644,660,7382
1983,56,141284,157899,2406565,2391592,30134,19.501,23388,15.135,580468,203032,377436,8.489,24.271,549110,181143,367967,7.574,22.960,31358,1.311,45.920,17563,17674,110802
1983,61,32677,35045,1505799,1479192,4292,12.442,3192,9.254,159408,33063,126345,2.235,10.777,106138,20452,85686,1.383,7.175,53270,3.601,14.351,2396,2437,14008
1983,62,391753,430418,7350879,7214645,46468,11.045,27039,6.427,948314,371799,576515,5.153,13.144,674126,202343,471783,2.805,9.344,274188,3.800,18.688,19603,19943,129791
1983,71,52466,55469,776852,771976,10283,19.076,7158,13.279,156077,64049,92028,8.297,20.218,146087,46853,99234,6.069,18.924,9990,1.294,37.848,5304,5342,32353
1983,72,298030,368669,5987826,5915905,62080,17.112,50310,13.868,1365227,735934,629293,12.440,23.077,1219164,505512,713652,8.545,20.608,146063,2.469,41.216,36640,37324,319453
1983,81,456882,496396,3453497,3425952,62067,12.653,50330,10.260,626776,233861,392915,6.826,18.295,572983,193522,379461,5.649,16.725,53793,1.570,33.450,36044,36525,132977
1984,11,18882,19467,178173,173440,3239,16.944,2536,13.267,47801,16852,30949,9.716,27.561,38526,12740,25786,7.346,22.213,9275,5.348,44.426,1819,1824,9135
1984,21,25380,31718,799441,791347,4468,14.088,4461,14.066,174076,44587,129489,5.634,21.997,159337,52875,106462,6.682,20.135,14739,1.863,40.270,3199,3229,27076
1984,22,5743,12240,756305,752892,739,6.114,433,3.582,41813,11675,30138,1.551,5.554,34889,5694,29195,0.756,4.634,6924,0.920,9.268,231,231,1141
1984,23,422210,428296,4289128,4044376,81318,19.651,52366,12.654,1356203,387351,968852,9.578,33.533,868532,250461,618071,6.193,21.475,487671,12.058,42.950,38720,38754,188263
1984,31-33,281173,328987,17338054,16782839,34217,10.499,28037,8.603,2601033,527651,2073382,3.144,15.498,1492030,515630,976400,3.072,8.890,1109003,6.608,17.780,20800,20958,209867
1984,42,271710,346612,4336930,4210537,39528,11.510,33143,9.651,807557,251440,556117,5.972,19.179,554115,208126,345989,4.943,13.160,253442,6.019,26.320,22787,23266,117269
1984,44-45,741700,1045829,10755129,10447796,123560,11.903,107986,10.403,1949649,758793,1190856,7.263,18.661,1333462,529150,804312,5.065,12.763,616187,5.898,25.526,75083,77441,309733
1984,48-49,96632,119946,2520972,2446782,19373,16.413,15543,13.169,476896,133201,343695,5.444,19.491,329738,117081,212657,4.785,13.476,147158,6.014,26.953,11162,11261,61090
1984,51,49965,76465,2537750,2496156,13777,18.618,8842,11.949,621538,350533,271005,14.043,24.900,535903,184894,351009,7.407,21.469,85635,3.431,42.938,5051,5138,36873
1984,52,169437,274045,4868188,4800483,31630,11.702,24125,8.926,812146,277165,534981,5.774,16.918,675753,265560,410193,5.532,14.077,136393,2.841,28.154,15001,15149,166083
1984,53,177687,191846,1276577,1208687,33825,18.083,24244,12.961,361613,175086,186527,14.486,29.918,222273,101230,121043,8.375,18.390,139340,11.528,36.779,18796,18903,71313
1984,54,335227,356632,3229632,3090929,59892,17.307,38727,11.191,721786,265610,456176,8.593,23.352,443998,172557,271441,5.583,14.365,277788,8.987,28.729,28523,28744,113739
1984,55,23398,43591,2851828,2797586,4347,10.098,3258,7.569,471911,136317,335594,4.873,16.869,363594,84569,279025,3.023,12.997,108317,3.872,25.993,713,731,8541
1984,56,151474,168826,2760211,2587699,32625,19.966,21777,13.327,760369,223708,536661,8.645,29.384,413486,146424,267062,5.658,15.979,346883,13.405,31.958,16600,16714,94900
1984,61,33823,36329,1524676,1502274,4573,12.816,3279,9.190,162773,27588,135185,1.836,10.835,118134,22567,95567,1.502,7.864,44639,2.971,15.727,2511,2535,15651
1984,62,404931,445527,7668497,7516728,43740,9.986,28675,6.547,960555,370058,590497,4.923,12.779,655098,214480,440618,2.853,8.715,305457,4.064,17.430,21325,21664,144496
1984,71,54133,57231,819720,797396,10154,18.045,8231,14.628,175323,64058,111265,8.033,21.987,130798,46783,84015,5.867,16.403,44525,5.584,32.806,6294,6347,33741
1984,72,302609,375856,6389114,6191498,61184,16.430,54236,14.565,1475423,758522,716901,12.251,23.830,1081565,518461,563104,8.374,17.469,393858,6.361,34.937,40453,41148,332365
1984,81,503782,543755,3754543,3608432,96248,18.500,49255,9.467,802797,330006,472791,9.145,22.248,510209,179941,330268,4.987,14.139,292588,8.108,28.279,36565,37080,126400
1985,11,18909,19465,177225,177288,2994,15.404,2937,15.111,45076,15592,29484,8.795,25.425,45074,15012,30062,8.468,25.424,2,0.001,50.848,2111,2115,10288
1985,21,25249,31505,762052,769885,4265,13.473,4569,14.433,139696,42587,97109,5.532,18.145,155836,57780,98056,7.505,20.241,-16140,-2.096,36.290,3280,3305,30014
1985,22,5769,12210,764587,760128,639,5.242,597,4.898,44320,8968,35352,1.180,5.831,35446,8329,27117,1.096,4.663,8874,1.167,9.326,317,317,1933
1985,23,443424,449596,4653976,4480740,83993,19.135,62710,14.286,1433570,441185,992385,9.846,31.994,1088392,356427,731965,7.955,24.290,345178,7.704,48.581,46379,46420,266433
1985,31-33,285164,332256,17266829,17300227,34640,10.484,30918,9.358,2087101,539014,1548087,3.116,12.064,2149091,804047,1345044,4.648,12.422,-61990,-0.358,24.128,22760,23018,335360
1985,42,273997,348923,4470944,4413102,40198,11.555,38130,10.960,797287,248352,548935,5.628,18.066,682480,296392,386088,6.716,15.465,114807,2.602,30.930,26634,27257,177742
1985,44-45,735096,1038965,11185311,10968112,122815,11.782,129706,12.443,1987934,771402,1216532,7.033,18.125,1554354,721029,833325,6.574,14.172,433580,3.953,28.343,88316,92186,424204
1985,48-49,98815,122400,2621200,2571178,19992,16.494,17601,14.522,474597,134305,340292,5.223,18.458,374675,148335,226340,5.769,14.572,99922,3.886,29.144,12903,13004,80549
1985,51,50730,78597,2616028,2584978,11500,14.837,9321,12.026,491208,194333,296875,7.518,19.002,432410,121115,311295,4.685,16.728,58798,2.275,33.456,6067,6191,56797
1985,52,168724,275961,5055530,4954472,31117,11.323,28814,10.485,859029,254419,604610,5.135,17.338,660117,253800,406317,5.123,13.324,198912,4.015,26.647,18188,18347,131812
1985,53,182916,198262,1384579,1329041,36036,18.482,29479,15.119,379851,175462,204389,13.202,28.581,270143,130083,140060,9.788,20.326,109708,8.255,40.652,22986,23086,92478
1985,54,351911,374213,3483914,3359483,63402,17.348,45908,12.561,783238,286472,496766,8.527,23.314,532580,228120,304460,6.790,15.853,250658,7.461,31.706,34757,34992,164251
1985,55,23750,43751,3003002,2927933,4118,9.430,3958,9.063,543319,140691,402628,4.805,18.556,395884,122549,273335,4.186,13.521,147435,5.035,27.042,981,993,11313
1985,56,159919,178284,3149331,2955823,35138,20.248,25654,14.783,918238,264980,653258,8.965,31.065,529858,192962,336896,6.528,17.926,388380,13.139,35.852,20000,20165,132918
1985,61,34096,36715,1550583,1538620,4423,12.115,4009,10.981,184890,27733,157157,1.802,12.017,160931,49384,111547,3.210,10.459,23959,1.557,20.919,3101,3132,31049
1985,62,413605,455948,7998433,7829997,45146,10.015,34818,7.724,1180844,466698,714146,5.960,15.081,843700,331415,512285,4.233,10.775,337144,4.306,21.550,26763,27182,240936
1985,71,55993,59096,837267,829778,10589,18.214,8670,14.913,194391,68986,125405,8.314,23.427,180514,81266,99248,9.794,21.754,13877,1.672,43.509,6631,6684,42813
1985,72,301404,376779,6679444,6539595,61890,16.440,61240,16.268,1593816,829492,764324,12.684,24.372,1309015,655677,653338,10.026,20.017,284801,4.355,40.034,45826,46872,411812
1985,81,512226,552559,3918589,3838466,70154,12.797,61426,11.205,758530,258510,500020,6.735,19.761,598922,243102,355820,6.333,15.603,159608,4.158,31.206,44831,45423,173458
1986,11,18526,19079,173966,175582,2844,14.773,3189,16.565,44274,15523,28751,8.841,25.216,47523,18071,29452,10.292,27.066,-3249,-1.850,50.431,2291,2292,11200
1986,21,24228,30127,686912,724681,3443,11.167,4852,15.737,112508,39248,73260,5.416,15.525,188433,53514,134919,7.384,26.002,-75925,-10.477,31.050,3390,3424,26793
1986,22,5930,12473,773470,770126,791,6.407,538,4.358,51548,16689,34859,2.167,6.693,43963,5822,38141,0.756,5.709,7585,0.985,11.417,276,276,1548
