year,pfg_utly,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,No Utility Patent Granted,55,17197,23240,968153,940059,2927,12.826,2090,9.158,253249,75992,177257,8.084,26.940,197088,51530,145558,5.482,20.966,56161,5.974,41.931,398,429,4375
1978,No Utility Patent Granted,56,108715,118925,1785126,1654264,25963,22.808,15778,13.861,576836,192573,384263,11.641,34.870,314936,121662,193274,7.354,19.038,261900,15.832,38.076,11925,12006,72382
1978,No Utility Patent Granted,61,30343,32171,1088786,1033934,4388,13.924,3074,9.754,235070,31776,203294,3.073,22.736,126629,63792,62837,6.170,12.247,108441,10.488,24.495,2260,2292,48802
1978,No Utility Patent Granted,62,313872,339659,5726871,5464329,40706,12.339,21203,6.427,989422,283715,705707,5.192,18.107,462854,186765,276089,3.418,8.470,526568,9.636,16.941,14701,14881,108256
1978,No Utility Patent Granted,71,42490,44220,606127,573762,7625,17.731,5192,12.073,157938,56758,101180,9.892,27.527,93389,34336,59053,5.984,16.277,64549,11.250,32.553,3855,3873,22410
1978,No Utility Patent Granted,72,285804,327759,4783488,4512685,60231,18.606,52134,16.105,1432296,731445,700851,16.209,31.739,889474,457679,431795,10.142,19.711,542822,12.029,39.421,38173,38753,300593
1978,No Utility Patent Granted,81,429878,460228,3065029,2920262,61972,13.690,46880,10.356,749138,236809,512329,8.109,25.653,458431,173698,284733,5.948,15.698,290707,9.955,31.397,33765,34111,114262
1978,Utility Patent Granted,11,85,407,27349,26522,36,9.011,21,5.257,4324,833,3491,3.141,16.304,2688,507,2181,1.912,10.135,1636,6.169,20.270,D,D,D
1978,Utility Patent Granted,21,322,3544,320157,330538,402,11.358,393,11.103,54969,18398,36571,5.566,16.630,75805,23797,52008,7.199,22.934,-20836,-6.304,33.260,D,D,D
1978,Utility Patent Granted,22,75,1420,81452,81824,71,4.993,75,5.274,6094,885,5209,1.082,7.448,6933,1684,5249,2.058,8.473,-839,-1.025,14.895,D,D,D
1978,Utility Patent Granted,23,590,2310,332135,326757,201,8.673,216,9.320,76716,20911,55805,6.400,23.478,64838,14427,50411,4.415,19.843,11878,3.635,39.686,14,14,136
1978,Utility Patent Granted,31-33,6987,34790,10227188,10078959,1516,4.348,1673,4.798,953963,151552,802411,1.504,9.465,659706,169869,489837,1.685,6.545,294257,2.920,13.091,172,174,8775
1978,Utility Patent Granted,42,2467,35630,852088,835653,3524,10.009,2684,7.623,166345,62827,103518,7.518,19.906,133846,57890,75956,6.928,16.017,32499,3.889,32.034,36,37,1307
1978,Utility Patent Granted,44-45,1027,64510,1198253,1158321,5176,8.069,4445,6.930,218749,81396,137353,7.027,18.885,138467,51699,86768,4.463,11.954,80282,6.931,23.908,19,21,116
1978,Utility Patent Granted,48-49,745,6621,443704,430934,639,9.839,386,5.943,76732,24407,52325,5.664,17.806,49883,17346,32537,4.025,11.576,26849,6.230,23.151,3,3,44
1978,Utility Patent Granted,51,319,13934,1064606,1044239,466,3.325,632,4.509,167415,16145,151270,1.546,16.032,124749,16594,108155,1.589,11.946,42666,4.086,23.893,3,3,10
1978,Utility Patent Granted,52,333,14172,352126,338500,1267,9.096,780,5.600,64668,20109,44559,5.941,19.104,37698,13864,23834,4.096,11.137,26970,7.968,22.274,9,9,78
1978,Utility Patent Granted,53,407,2202,61559,64969,599,29.653,235,11.634,14415,9014,5401,13.874,22.188,20978,6266,14712,9.645,32.289,-6563,-10.102,44.375,14,15,33
1978,Utility Patent Granted,54,1226,3441,408043,402850,426,12.422,403,11.751,57617,19319,38298,4.796,14.302,47363,11897,35466,2.953,11.757,10254,2.545,23.514,43,43,333
1978,Utility Patent Granted,55,1796,12888,1460582,1422569,1017,7.870,1087,8.411,271396,62911,208485,4.422,19.078,194575,46267,148308,3.252,13.678,76821,5.400,27.355,D,D,D
1978,Utility Patent Granted,56,424,2946,176798,180149,469,16.387,301,10.517,43548,14329,29219,7.954,24.173,51201,11509,39692,6.389,28.422,-7653,-4.248,48.347,13,13,68
1978,Utility Patent Granted,61,89,253,193451,177703,70,30.435,24,10.435,37163,1678,35485,0.944,20.913,7193,524,6669,0.295,4.048,29970,16.865,8.096,0,0,0
1978,Utility Patent Granted,62,122,1009,118693,115375,153,15.789,73,7.534,17715,7971,9744,6.909,15.354,11306,6105,5201,5.291,9.799,6409,5.555,19.599,D,D,D
1978,Utility Patent Granted,71,123,486,44816,41026,44,9.205,28,5.858,10274,3368,6906,8.209,25.043,2719,1486,1233,3.622,6.628,7555,18.415,13.255,D,D,D
1978,Utility Patent Granted,72,227,14282,434670,423713,1467,10.409,1091,7.741,85579,45786,39793,10.806,20.197,63209,26919,36290,6.353,14.918,22370,5.280,29.836,4,4,126
1978,Utility Patent Granted,81,459,3601,99705,100354,307,8.664,192,5.418,14382,4348,10034,4.333,14.331,15226,5822,9404,5.801,15.172,-844,-0.841,28.663,7,7,30
1979,No Utility Patent Granted,11,19936,20198,158744,158844,3588,17.746,3630,17.953,47396,18858,28538,11.872,29.838,47802,20350,27452,12.811,30.094,-406,-0.256,59.676,2617,2661,13906
1979,No Utility Patent Granted,21,19532,21917,449911,418918,3846,17.971,2815,13.153,135985,37936,98049,9.056,32.461,74536,31693,42843,7.565,17.793,61449,14.669,35.585,1863,1880,19065
1979,No Utility Patent Granted,22,5868,10604,589119,578063,724,6.910,470,4.486,55446,19747,35699,3.416,9.592,33562,6542,27020,1.132,5.806,21884,3.786,11.612,212,212,890
1979,No Utility Patent Granted,23,447704,451707,4234476,4018044,84589,19.172,63587,14.412,1310931,381796,929135,9.502,32.626,878778,296076,582702,7.369,21.871,432153,10.755,43.742,49595,49626,224211
1979,No Utility Patent Granted,31-33,254562,275115,8465006,8286583,29839,10.890,27611,10.077,1384999,349598,1035401,4.219,16.714,1027588,384537,643051,4.640,12.401,357411,4.313,24.801,19146,19323,211474
1979,No Utility Patent Granted,42,245060,283654,3212251,3122304,32373,11.560,25166,8.986,595041,169105,425936,5.416,19.058,414649,156381,258268,5.009,13.280,180392,5.778,26.560,17727,18040,94706
1979,No Utility Patent Granted,44-45,752545,962706,9368001,9179139,119951,12.574,102412,10.736,1714238,671854,1042384,7.319,18.675,1329325,490140,839185,5.340,14.482,384913,4.193,28.964,73264,74904,302770
1979,No Utility Patent Granted,48-49,93117,107782,2166355,2091723,18495,17.526,13988,13.255,433478,131189,302289,6.272,20.723,282855,90963,191892,4.349,13.523,150623,7.201,27.045,10730,10772,54875
1979,No Utility Patent Granted,51,40401,52609,1198912,1162713,7735,15.017,5531,10.738,209262,70209,139053,6.038,17.998,136017,52137,83880,4.484,11.698,73245,6.299,23.396,3389,3418,25881
1979,No Utility Patent Granted,52,152129,230403,4060307,3903358,24889,11.055,14365,6.380,673284,177646,495638,4.551,17.249,360693,95978,264715,2.459,9.241,312591,8.008,18.481,8965,9017,36995
1979,No Utility Patent Granted,53,178694,186492,1057517,1019048,31128,17.052,23235,12.728,283876,117066,166810,11.488,27.857,206721,91231,115490,8.953,20.286,77155,7.571,40.571,18436,18487,63346
1979,No Utility Patent Granted,54,251418,265315,2016149,1916924,44100,17.186,26670,10.394,474996,178149,296847,9.293,24.779,275789,115088,160701,6.004,14.387,199207,10.392,28.774,19636,19833,78947
1979,No Utility Patent Granted,55,18272,24705,1056883,1016968,3011,12.479,1857,7.696,220749,79161,141588,7.784,21.707,140684,38132,102552,3.750,13.834,80065,7.873,27.667,424,429,4563
1979,No Utility Patent Granted,56,118439,129541,1994460,1894419,27344,22.028,16527,13.314,558765,186459,372306,9.843,29.495,359936,121350,238586,6.406,19.000,198829,10.496,38.000,12666,12741,76627
1979,No Utility Patent Granted,61,31178,32997,1102413,1064434,4169,12.818,3224,9.913,171391,28772,142619,2.703,16.102,94729,22752,71977,2.137,8.899,76662,7.202,17.799,2436,2471,14783
1979,No Utility Patent Granted,62,330070,357860,6061358,5888092,38554,11.043,21089,6.040,850031,259326,590705,4.404,14.436,505756,173501,332255,2.947,8.589,344275,5.847,17.179,15362,15543,115817
1979,No Utility Patent Granted,71,44687,46430,642801,625717,7721,17.027,5554,12.248,147499,49871,97628,7.970,23.573,113709,37107,76602,5.930,18.173,33790,5.400,36.345,4109,4133,27248
1979,No Utility Patent Granted,72,292131,338013,5105905,4975673,57370,17.171,49560,14.834,1301310,672879,628431,13.523,26.153,1046777,438253,608524,8.808,21.038,254533,5.116,42.076,36302,36828,294741
1979,No Utility Patent Granted,81,443499,474813,3233468,3151624,59626,12.747,45515,9.730,665358,222431,442927,7.058,21.112,501935,165043,336892,5.237,15.926,163423,5.185,31.852,33669,33994,116357
1979,Utility Patent Granted,11,91,435,27150,27704,24,5.543,20,4.619,2578,579,1999,2.090,9.306,3699,257,3442,0.928,13.352,-1121,-4.046,18.611,D,D,D
1979,Utility Patent Granted,21,321,3674,369797,346356,344,9.425,296,8.110,82632,15724,66908,4.540,23.858,35309,13913,21396,4.017,10.194,47323,13.663,20.389,5,5,36
1979,Utility Patent Granted,22,79,1527,94617,93948,65,4.243,75,4.896,7085,1840,5245,1.959,7.541,5920,1523,4397,1.621,6.301,1165,1.240,12.603,D,D,D
1979,Utility Patent Granted,23,569,2271,348194,337214,212,9.374,193,8.534,73439,8824,64615,2.617,21.778,50279,9598,40681,2.846,14.910,23160,6.868,29.820,10,10,76
1979,Utility Patent Granted,31-33,6568,34630,10648245,10446743,1614,4.659,1642,4.740,1061025,163202,897823,1.562,10.157,653660,166029,487631,1.589,6.257,407365,3.899,12.514,148,155,9495
1979,Utility Patent Granted,42,2435,35706,875634,860832,3246,9.128,2958,8.318,161156,66605,94551,7.737,18.721,132093,53140,78953,6.173,15.345,29063,3.376,30.690,40,46,439
1979,Utility Patent Granted,44-45,1010,57644,1054109,1027175,3932,6.798,4326,7.479,169042,70238,98804,6.838,16.457,116807,42030,74777,4.092,11.372,52235,5.085,22.743,20,20,247
1979,Utility Patent Granted,48-49,713,6905,432404,423730,554,8.099,425,6.213,62707,17389,45318,4.104,14.799,46138,12460,33678,2.941,10.889,16569,3.910,21.777,D,D,D
1979,Utility Patent Granted,51,313,12283,1081451,1065598,306,2.443,794,6.338,202326,11457,190869,1.075,18.987,171159,30833,140326,2.893,16.062,31167,2.925,32.125,7,7,95
1979,Utility Patent Granted,52,315,16039,392783,382292,1673,10.831,488,3.159,51329,17509,33820,4.580,13.427,30072,5686,24386,1.487,7.866,21257,5.560,15.732,5,5,86
1979,Utility Patent Granted,53,390,2612,68346,59886,1004,45.803,164,7.482,24223,7827,16396,13.070,40.449,7781,3960,3821,6.613,12.993,16442,27.455,25.986,4,4,29
1979,Utility Patent Granted,54,1198,3261,431629,421219,377,11.776,258,8.059,62099,15918,46181,3.779,14.743,40627,11087,29540,2.632,9.645,21472,5.098,19.290,34,34,287
1979,Utility Patent Granted,55,1754,13068,1517028,1484957,1294,10.013,1005,7.777,242886,65426,177460,4.406,16.356,176992,40142,136850,2.703,11.919,65894,4.437,23.838,0,0,0
1979,Utility Patent Granted,56,439,3074,215861,195172,453,15.335,213,7.211,69761,23867,45894,12.229,35.743,27441,7382,20059,3.782,14.060,42320,21.683,28.120,8,8,75
1979,Utility Patent Granted,61,89,271,219680,206069,29,11.111,9,3.448,33640,679,32961,0.330,16.325,6056,51,6005,0.025,2.939,27584,13.386,5.878,D,D,D
1979,Utility Patent Granted,62,139,1164,139822,134439,187,16.832,81,7.291,22089,6882,15207,5.119,16.431,11255,2897,8358,2.155,8.372,10834,8.059,16.744,D,D,D
1979,Utility Patent Granted,71,110,463,59872,51892,24,5.123,35,7.471,23310,1800,21510,3.469,44.920,6572,1485,5087,2.862,12.665,16738,32.255,25.330,3,3,3
1979,Utility Patent Granted,72,213,13790,439393,421295,1468,10.919,776,5.772,92803,40597,52206,9.636,22.028,54904,20107,34797,4.773,13.032,37899,8.996,26.064,3,3,3
1979,Utility Patent Granted,81,478,3984,105774,104010,314,7.917,278,7.010,15454,4973,10481,4.781,14.858,12025,3806,8219,3.659,11.561,3429,3.297,23.123,6,7,34
1980,No Utility Patent Granted,11,19888,20157,159534,160074,3257,16.115,3364,16.645,41908,15656,26252,9.780,26.180,43149,14765,28384,9.224,26.956,-1241,-0.775,52.361,2580,2580,10798
1980,No Utility Patent Granted,21,20805,23259,481956,469894,4023,17.777,2767,12.227,115217,43048,72169,9.161,24.520,91078,32899,58179,7.001,19.383,24139,5.137,38.765,1986,2028,21628
1980,No Utility Patent Granted,22,5877,10553,590424,584029,522,4.967,436,4.148,34413,8511,25902,1.457,5.892,21859,5841,16018,1.000,3.743,12554,2.150,7.486,279,281,1162
1980,No Utility Patent Granted,23,439307,443006,4123655,4175537,71177,15.919,79381,17.754,1048376,317021,731355,7.592,25.108,1152824,341062,811762,8.168,27.609,-104448,-2.501,50.215,61242,61269,259154
1980,No Utility Patent Granted,31-33,259172,279882,8348408,8410610,30872,11.128,25964,9.359,1134659,337394,797265,4.012,13.491,1258391,383133,875258,4.555,14.962,-123732,-1.471,26.982,19768,19909,230851
1980,No Utility Patent Granted,42,250571,289097,3244237,3232220,31673,11.043,27097,9.448,512844,161129,351715,4.985,15.867,488167,164394,323773,5.086,15.103,24677,0.763,30.206,19340,19672,100030
1980,No Utility Patent Granted,44-45,750990,968600,9286355,9353762,111616,11.548,107531,11.125,1463293,638611,824682,6.827,15.644,1593310,515385,1077925,5.510,17.034,-130017,-1.390,31.288,76677,78762,321495
1980,No Utility Patent Granted,48-49,93720,109035,2145219,2161632,17036,15.687,16165,14.885,341740,117744,223996,5.447,15.809,374716,100445,274271,4.647,17.335,-32976,-1.526,31.619,12619,12692,61656
1980,No Utility Patent Granted,51,42402,54980,1251365,1225332,8159,15.168,5781,10.747,205059,70979,134080,5.793,16.735,153421,58153,95268,4.746,12.521,51638,4.214,25.042,3808,3898,31730
1980,No Utility Patent Granted,52,154532,235966,4271545,4183684,21963,9.412,16711,7.162,574338,158137,416201,3.780,13.728,398329,116024,282305,2.773,9.521,176009,4.207,19.042,10450,10535,46696
1980,No Utility Patent Granted,53,178698,186368,1055418,1058017,28192,15.119,28393,15.227,253186,105173,148013,9.941,23.930,257623,111684,145939,10.556,24.350,-4437,-0.419,47.860,22624,22688,78273
1980,No Utility Patent Granted,54,264283,278532,2115697,2066009,44130,16.227,30975,11.390,439001,168124,270877,8.138,21.249,338985,127742,211243,6.183,16.408,100016,4.841,32.815,22943,23079,88432
1980,No Utility Patent Granted,55,18800,25733,1092527,1071345,2771,10.955,1892,7.480,196263,68129,128134,6.359,18.319,153715,40997,112718,3.827,14.348,42548,3.971,28.696,564,588,6432
1980,No Utility Patent Granted,56,126555,138307,2088060,2040112,27544,20.575,18671,13.947,518529,187316,331213,9.182,25.417,422961,120343,302618,5.899,20.732,95568,4.684,41.464,14440,14496,78766
1980,No Utility Patent Granted,61,31455,33304,1165079,1146249,3692,11.138,3379,10.194,140724,21863,118861,1.907,12.277,103728,22099,81629,1.928,9.049,36996,3.228,18.099,2655,2674,15672
1980,No Utility Patent Granted,62,344166,373492,6225964,6117910,39469,10.800,23369,6.395,763565,244655,518910,3.999,12.481,546339,178082,368257,2.911,8.930,217226,3.551,17.860,16955,17138,115851
1980,No Utility Patent Granted,71,46195,47951,653422,648488,7542,15.980,6031,12.779,137677,48941,88736,7.547,21.230,128238,40303,87935,6.215,19.775,9439,1.456,39.550,4517,4537,27149
1980,No Utility Patent Granted,72,291716,340717,5227144,5191541,53948,15.877,52100,15.333,1218852,641916,576936,12.365,23.478,1150788,460295,690493,8.866,22.167,68064,1.311,44.333,38584,39168,309479
1980,No Utility Patent Granted,81,447253,479639,3238850,3236794,55010,11.527,50196,10.518,569662,200229,369433,6.186,17.600,565544,170851,394693,5.278,17.472,4118,0.127,34.945,37562,37847,123164
1980,Utility Patent Granted,11,91,429,27710,27450,25,5.807,28,6.504,3641,657,2984,2.393,13.264,3156,467,2689,1.701,11.497,485,1.767,22.995,D,D,D
1980,Utility Patent Granted,21,318,3637,374091,369927,334,9.214,310,8.552,57798,13434,44364,3.632,15.624,49280,12688,36592,3.430,13.322,8518,2.303,26.643,D,D,D
1980,Utility Patent Granted,22,79,1662,108565,107090,54,3.244,59,3.545,8596,2765,5831,2.582,8.027,5573,2015,3558,1.882,5.204,3023,2.823,10.408,0,0,0
1980,Utility Patent Granted,23,568,2336,302093,309451,178,7.517,242,10.220,46637,6666,39971,2.154,15.071,60898,11227,49671,3.628,19.679,-14261,-4.608,30.142,13,13,215
1980,Utility Patent Granted,31-33,6313,34078,10374760,10480706,1501,4.383,1834,5.356,835996,164027,671969,1.565,7.977,1054651,213514,841137,2.037,10.063,-218655,-2.086,15.953,139,143,8205
1980,Utility Patent Granted,42,2433,36104,888981,886978,3123,8.687,2817,7.836,127222,48181,79041,5.432,14.343,123846,56889,66957,6.414,13.963,3376,0.381,27.925,37,37,483
1980,Utility Patent Granted,44-45,979,56296,1001426,1007144,3620,6.427,3686,6.544,119379,64022,55357,6.357,11.853,131468,38004,93464,3.773,13.054,-12089,-1.200,23.706,22,49,484
1980,Utility Patent Granted,48-49,712,6695,416397,419722,513,7.774,320,4.850,43094,11625,31469,2.770,10.267,49405,11605,37800,2.765,11.771,-6311,-1.504,20.535,D,D,D
1980,Utility Patent Granted,51,314,12377,1097162,1086119,296,2.401,202,1.638,280591,13474,267117,1.241,25.834,257755,9710,248045,0.894,23.732,22836,2.103,47.463,7,7,114
1980,Utility Patent Granted,52,308,15727,385078,376982,1284,8.151,1334,8.469,58017,24473,33544,6.492,15.390,42498,14792,27706,3.924,11.273,15519,4.117,22.546,7,7,44
1980,Utility Patent Granted,53,389,2896,61876,62639,521,19.105,183,6.711,12618,5118,7500,8.171,20.144,14238,4564,9674,7.286,22.730,-1620,-2.586,40.288,10,10,23
1980,Utility Patent Granted,54,1220,3467,465792,454097,455,13.442,291,8.597,59268,16814,42454,3.703,13.052,36126,11149,24977,2.455,7.956,23142,5.096,15.911,43,45,447
1980,Utility Patent Granted,55,1755,13163,1556806,1536628,1203,9.223,963,7.383,221251,54030,167221,3.516,14.398,178986,55859,123127,3.635,11.648,42265,2.751,23.296,4,4,85
1980,Utility Patent Granted,56,449,3259,228722,225769,318,9.779,304,9.348,38981,12777,26204,5.659,17.266,33227,10571,22656,4.682,14.717,5754,2.549,29.435,13,18,362
1980,Utility Patent Granted,61,92,277,217117,212418,23,8.410,16,5.850,17607,218,17389,0.103,8.289,8270,343,7927,0.161,3.893,9337,4.396,7.787,D,D,D
1980,Utility Patent Granted,62,141,1203,177568,169765,128,10.926,65,5.548,27994,7444,20550,4.385,16.490,12268,2634,9634,1.552,7.226,15726,9.263,14.453,3,3,8
1980,Utility Patent Granted,71,101,668,64002,62346,241,42.806,31,5.506,6746,1923,4823,3.084,10.820,3101,667,2434,1.070,4.974,3645,5.846,9.948,D,D,D
1980,Utility Patent Granted,72,211,13658,419982,406275,1583,11.867,946,7.092,86449,52194,34255,12.847,21.278,58206,24141,34065,5.942,14.327,28243,6.952,28.654,8,8,37
1980,Utility Patent Granted,81,493,4233,114770,113020,386,9.211,301,7.183,16300,5458,10842,4.829,14.422,12942,3659,9283,3.237,11.451,3358,2.971,22.902,7,7,36
1981,No Utility Patent Granted,11,19131,19392,152929,155775,2779,14.085,3455,17.511,38999,14160,24839,9.090,25.035,44716,18040,26676,11.581,28.706,-5717,-3.670,50.071,2486,2489,11514
1981,No Utility Patent Granted,21,23601,26212,548842,511463,5780,23.380,2799,11.322,161836,64553,97283,12.621,31.642,86102,35643,50459,6.969,16.834,75734,14.807,33.669,2071,2089,24337
1981,No Utility Patent Granted,22,5882,10637,592661,583420,577,5.468,407,3.857,35507,7084,28423,1.214,6.086,17345,4432,12913,0.760,2.973,18162,3.113,5.946,257,258,1349
1981,No Utility Patent Granted,23,420372,423989,3931678,4018694,62010,14.310,80727,18.629,974689,295012,679677,7.341,24.254,1147019,335887,811132,8.358,28.542,-172330,-4.288,48.508,60911,60946,257171
1981,No Utility Patent Granted,31-33,267129,288437,8227953,8290953,33874,11.919,25399,8.937,1158094,449260,708834,5.419,13.968,1283304,360088,923216,4.343,15.478,-125210,-1.510,27.936,19550,19682,223201
1981,No Utility Patent Granted,42,256781,296713,3315078,3277581,35110,11.994,27166,9.280,565967,220943,345024,6.741,17.268,491635,164264,327371,5.012,15.000,74332,2.268,30.000,20325,20735,107076
1981,No Utility Patent Granted,44-45,742389,965502,8880554,8908256,109892,11.397,107370,11.135,1435046,635270,799776,7.131,16.109,1489328,511454,977874,5.741,16.719,-54282,-0.609,32.218,77926,80652,330219
1981,No Utility Patent Granted,48-49,93109,108777,2067584,2098052,16041,14.755,15918,14.642,302035,113964,188071,5.432,14.396,363181,106778,256403,5.089,17.310,-61146,-2.914,28.792,12375,12423,64419
1981,No Utility Patent Granted,51,45107,58182,1332536,1289639,9180,16.230,5943,10.507,256387,87841,168546,6.811,19.881,173436,59568,113868,4.619,13.448,82951,6.432,26.897,4121,4197,33449
1981,No Utility Patent Granted,52,156278,239202,4437821,4314609,23244,9.828,17869,7.555,684576,201243,483333,4.664,15.866,438407,155027,283380,3.593,10.161,246169,5.705,20.322,11336,11438,66263
1981,No Utility Patent Granted,53,175865,184966,1083918,1069480,26592,14.305,28454,15.306,255981,114621,141360,10.717,23.935,227734,96316,131418,9.006,21.294,28247,2.641,42.588,22595,22717,70056
1981,No Utility Patent Granted,54,276531,291838,2258093,2182652,47075,16.519,33343,11.700,491351,204405,286946,9.365,22.512,339505,127315,212190,5.833,15.555,151846,6.957,31.109,25202,25377,89865
1981,No Utility Patent Granted,55,19688,27121,1142569,1115895,3227,12.237,1725,6.542,216855,80424,136431,7.207,19.433,161901,33308,128593,2.985,14.509,54954,4.925,29.017,560,571,5749
1981,No Utility Patent Granted,56,134094,146529,2108375,2085046,28608,20.100,20201,14.194,504688,196174,308514,9.409,24.205,458537,137921,320616,6.615,21.992,46151,2.213,43.983,15679,15791,91163
1981,No Utility Patent Granted,61,31844,33748,1239321,1211516,3733,11.115,3407,10.144,156996,25438,131558,2.100,12.959,100965,21655,79310,1.787,8.334,56031,4.625,16.668,2638,2662,14299
1981,No Utility Patent Granted,62,360499,392182,6620611,6437171,43125,11.267,24288,6.345,901478,322781,578697,5.014,14.004,531541,178358,353183,2.771,8.257,369937,5.747,16.515,18021,18202,122728
1981,No Utility Patent Granted,71,47735,49565,681517,668425,7822,16.051,6157,12.634,146133,58189,87944,8.705,21.862,119642,36184,83458,5.413,17.899,26491,3.963,35.798,4581,4602,25217
1981,No Utility Patent Granted,72,292199,344016,5345650,5295973,54235,15.838,51063,14.912,1188972,658919,530053,12.442,22.450,1089293,441080,648213,8.329,20.568,99679,1.882,41.137,38383,39124,313740
1981,No Utility Patent Granted,81,447735,481144,3289191,3264465,53953,11.234,52192,10.867,597257,218883,378374,6.705,18.296,548483,183212,365271,5.612,16.802,48774,1.494,33.603,38646,39088,134456
1981,Utility Patent Granted,11,88,420,26098,26824,31,7.355,34,8.066,2522,617,1905,2.300,9.402,4010,1336,2674,4.981,14.950,-1488,-5.547,18.804,0,0,0
1981,Utility Patent Granted,21,304,3785,408338,395894,396,10.566,322,8.591,70668,15303,55365,3.865,17.850,46036,12211,33825,3.084,11.628,24632,6.222,23.257,3,3,49
1981,Utility Patent Granted,22,75,1656,129770,128677,51,3.071,60,3.613,8520,2398,6122,1.864,6.621,6129,1986,4143,1.543,4.763,2391,1.858,9.526,D,D,D
1981,Utility Patent Granted,23,525,2483,343911,330700,253,10.346,178,7.279,72295,15924,56371,4.815,21.861,45253,6950,38303,2.102,13.684,27042,8.177,27.368,19,19,260
1981,Utility Patent Granted,31-33,6247,33771,9948692,10152498,1629,4.812,1787,5.279,736579,196422,540157,1.935,7.255,1144432,249028,895404,2.453,11.272,-407853,-4.017,14.510,152,169,8466
1981,Utility Patent Granted,42,2399,36687,900883,893025,3285,9.020,2747,7.543,144454,58111,86343,6.507,16.176,128004,44198,83806,4.949,14.334,16450,1.842,28.668,47,68,802
1981,Utility Patent Granted,44-45,978,63487,1347284,1348042,6812,10.972,4007,6.454,180319,101782,78537,7.550,13.376,181288,40280,141008,2.988,13.448,-969,-0.072,26.753,21,21,255
1981,Utility Patent Granted,48-49,740,7214,435724,437913,636,8.961,403,5.678,47386,14446,32940,3.299,10.821,51325,9841,41484,2.247,11.720,-3939,-0.899,21.642,3,3,164
1981,Utility Patent Granted,51,316,12120,1113184,1107706,228,1.860,500,4.080,237026,8288,228738,0.748,21.398,227682,10542,217140,0.952,20.554,9344,0.844,41.109,7,7,62
1981,Utility Patent Granted,52,307,17560,471125,461377,1534,8.673,1788,10.109,72178,26585,45593,5.762,15.644,54285,19027,35258,4.124,11.766,17893,3.878,23.532,3,3,17
