NAICS,IndustryTitle,Basis,year,tfp_pct_change,tfp_index_2017
3111,Animal food manufacturing,All workers,Sector,Manufacturing,Manufacturing
3112,Grain and oilseed milling,All workers,1988.0,1.1,102.73
3112,Grain and oilseed milling,All workers,1989.0,0.4,103.162
3112,Grain and oilseed milling,All workers,1990.0,-1.1,102.005
3112,Grain and oilseed milling,All workers,1991.0,0.1,102.073
3112,Grain and oilseed milling,All workers,1992.0,0.0,102.087
3112,Grain and oilseed milling,All workers,1993.0,0.7,102.849
3112,Grain and oilseed milling,All workers,1994.0,-0.9,101.942
3112,Grain and oilseed milling,All workers,1995.0,3.9,105.916
3112,Grain and oilseed milling,All workers,1996.0,-7.2,98.286
3112,Grain and oilseed milling,All workers,1997.0,-0.8,97.515
3112,Grain and oilseed milling,All workers,1998.0,1.3,98.782
3112,Grain and oilseed milling,All workers,1999.0,2.5,101.258
3112,Grain and oilseed milling,All workers,2000.0,6.3,107.628
3112,Grain and oilseed milling,All workers,2001.0,-0.3,107.345
3112,Grain and oilseed milling,All workers,2002.0,0.0,107.344
3112,Grain and oilseed milling,All workers,2003.0,1.9,109.335
3112,Grain and oilseed milling,All workers,2004.0,-0.4,108.85
3112,Grain and oilseed milling,All workers,2005.0,-1.3,107.431
3112,Grain and oilseed milling,All workers,2006.0,-4.0,103.142
3112,Grain and oilseed milling,All workers,2007.0,4.5,107.768
3112,Grain and oilseed milling,All workers,2008.0,-4.2,103.267
3112,Grain and oilseed milling,All workers,2009.0,7.4,110.923
3112,Grain and oilseed milling,All workers,2010.0,1.2,112.305
3112,Grain and oilseed milling,All workers,2011.0,-3.2,108.664
3112,Grain and oilseed milling,All workers,2012.0,-1.5,107.082
3112,Grain and oilseed milling,All workers,2013.0,-4.0,102.773
3112,Grain and oilseed milling,All workers,2014.0,-1.3,101.433
3112,Grain and oilseed milling,All workers,2015.0,3.5,104.989
3112,Grain and oilseed milling,All workers,2016.0,2.2,107.349
3112,Grain and oilseed milling,All workers,2017.0,-6.8,100.0
3112,Grain and oilseed milling,All workers,2018.0,2.3,102.326
3112,Grain and oilseed milling,All workers,2019.0,5.5,107.988
3112,Grain and oilseed milling,All workers,2020.0,-3.6,104.106
3112,Grain and oilseed milling,All workers,2021.0,6.8,111.176
3112,Grain and oilseed milling,All workers,1987,N.A.,101.631
3112,Grain and oilseed milling,All workers,2022,N.A.,N.A.
3112,Grain and oilseed milling,All workers,2023,N.A.,N.A.
3112,Grain and oilseed milling,All workers,2024,N.A.,N.A.
3112,Grain and oilseed milling,All workers,Digit,4-Digit,4-Digit
3112,Grain and oilseed milling,All workers,Sector,Manufacturing,Manufacturing
3113,Sugar and confectionery products,All workers,1988.0,1.7,100.772
3113,Sugar and confectionery products,All workers,1989.0,0.2,100.999
3113,Sugar and confectionery products,All workers,1990.0,-1.3,99.706
3113,Sugar and confectionery products,All workers,1991.0,2.0,101.651
3113,Sugar and confectionery products,All workers,1992.0,-1.5,100.152
3113,Sugar and confectionery products,All workers,1993.0,2.5,102.695
3113,Sugar and confectionery products,All workers,1994.0,2.1,104.876
3113,Sugar and confectionery products,All workers,1995.0,1.8,106.799
3113,Sugar and confectionery products,All workers,1996.0,2.3,109.266
3113,Sugar and confectionery products,All workers,1997.0,-1.9,107.199
3113,Sugar and confectionery products,All workers,1998.0,2.4,109.804
3113,Sugar and confectionery products,All workers,1999.0,0.6,110.492
3113,Sugar and confectionery products,All workers,2000.0,6.0,117.164
3113,Sugar and confectionery products,All workers,2001.0,0.9,118.232
3113,Sugar and confectionery products,All workers,2002.0,-3.1,114.62
3113,Sugar and confectionery products,All workers,2003.0,-0.6,113.919
3113,Sugar and confectionery products,All workers,2004.0,4.4,118.969
3113,Sugar and confectionery products,All workers,2005.0,5.6,125.681
3113,Sugar and confectionery products,All workers,2006.0,-2.8,122.121
3113,Sugar and confectionery products,All workers,2007.0,-2.7,118.851
3113,Sugar and confectionery products,All workers,2008.0,-6.2,111.456
3113,Sugar and confectionery products,All workers,2009.0,-6.4,104.276
3113,Sugar and confectionery products,All workers,2010.0,5.3,109.839
3113,Sugar and confectionery products,All workers,2011.0,-2.7,106.894
3113,Sugar and confectionery products,All workers,2012.0,-2.1,104.683
3113,Sugar and confectionery products,All workers,2013.0,1.1,105.853
3113,Sugar and confectionery products,All workers,2014.0,1.0,106.895
3113,Sugar and confectionery products,All workers,2015.0,-3.2,103.466
3113,Sugar and confectionery products,All workers,2016.0,-1.3,102.126
3113,Sugar and confectionery products,All workers,2017.0,-2.1,100.0
3113,Sugar and confectionery products,All workers,2018.0,0.0,100.048
3113,Sugar and confectionery products,All workers,2019.0,-0.8,99.235
3113,Sugar and confectionery products,All workers,2020.0,-5.9,93.392
3113,Sugar and confectionery products,All workers,2021.0,13.8,106.274
3113,Sugar and confectionery products,All workers,1987,N.A.,99.104
3113,Sugar and confectionery products,All workers,2022,N.A.,N.A.
3113,Sugar and confectionery products,All workers,2023,N.A.,N.A.
3113,Sugar and confectionery products,All workers,2024,N.A.,N.A.
3113,Sugar and confectionery products,All workers,Digit,4-Digit,4-Digit
3113,Sugar and confectionery products,All workers,Sector,Manufacturing,Manufacturing
3114,Fruit and vegetable preserving and specialty food,All workers,1988.0,-1.8,93.239
3114,Fruit and vegetable preserving and specialty food,All workers,1989.0,-0.6,92.635
3114,Fruit and vegetable preserving and specialty food,All workers,1990.0,-2.6,90.204
3114,Fruit and vegetable preserving and specialty food,All workers,1991.0,2.8,92.752
3114,Fruit and vegetable preserving and specialty food,All workers,1992.0,0.4,93.162
3114,Fruit and vegetable preserving and specialty food,All workers,1993.0,1.6,94.666
3114,Fruit and vegetable preserving and specialty food,All workers,1994.0,1.5,96.052
3114,Fruit and vegetable preserving and specialty food,All workers,1995.0,0.9,96.91
3114,Fruit and vegetable preserving and specialty food,All workers,1996.0,-0.2,96.727
3114,Fruit and vegetable preserving and specialty food,All workers,1997.0,1.2,97.883
3114,Fruit and vegetable preserving and specialty food,All workers,1998.0,1.5,99.33
3114,Fruit and vegetable preserving and specialty food,All workers,1999.0,-1.2,98.176
3114,Fruit and vegetable preserving and specialty food,All workers,2000.0,0.8,98.951
3114,Fruit and vegetable preserving and specialty food,All workers,2001.0,3.3,102.253
3114,Fruit and vegetable preserving and specialty food,All workers,2002.0,4.1,106.481
3114,Fruit and vegetable preserving and specialty food,All workers,2003.0,-0.9,105.555
3114,Fruit and vegetable preserving and specialty food,All workers,2004.0,0.5,106.076
3114,Fruit and vegetable preserving and specialty food,All workers,2005.0,-2.5,103.448
3114,Fruit and vegetable preserving and specialty food,All workers,2006.0,-0.8,102.672
3114,Fruit and vegetable preserving and specialty food,All workers,2007.0,2.6,105.312
3114,Fruit and vegetable preserving and specialty food,All workers,2008.0,-3.0,102.128
3114,Fruit and vegetable preserving and specialty food,All workers,2009.0,-5.9,96.136
3114,Fruit and vegetable preserving and specialty food,All workers,2010.0,2.6,98.618
3114,Fruit and vegetable preserving and specialty food,All workers,2011.0,4.2,102.737
3114,Fruit and vegetable preserving and specialty food,All workers,2012.0,1.4,104.222
3114,Fruit and vegetable preserving and specialty food,All workers,2013.0,1.3,105.572
3114,Fruit and vegetable preserving and specialty food,All workers,2014.0,-2.4,103.065
3114,Fruit and vegetable preserving and specialty food,All workers,2015.0,-0.8,102.235
3114,Fruit and vegetable preserving and specialty food,All workers,2016.0,-1.2,101.023
3114,Fruit and vegetable preserving and specialty food,All workers,2017.0,-1.0,100.0
3114,Fruit and vegetable preserving and specialty food,All workers,2018.0,1.0,101.0
3114,Fruit and vegetable preserving and specialty food,All workers,2019.0,-0.6,100.412
3114,Fruit and vegetable preserving and specialty food,All workers,2020.0,0.9,101.315
3114,Fruit and vegetable preserving and specialty food,All workers,2021.0,3.0,104.307
3114,Fruit and vegetable preserving and specialty food,All workers,1987,N.A.,94.993
3114,Fruit and vegetable preserving and specialty food,All workers,2022,N.A.,N.A.
3114,Fruit and vegetable preserving and specialty food,All workers,2023,N.A.,N.A.
3114,Fruit and vegetable preserving and specialty food,All workers,2024,N.A.,N.A.
3114,Fruit and vegetable preserving and specialty food,All workers,Digit,4-Digit,4-Digit
3114,Fruit and vegetable preserving and specialty food,All workers,Sector,Manufacturing,Manufacturing
3115,Dairy products,All workers,1988.0,1.6,100.605
3115,Dairy products,All workers,1989.0,-2.5,98.058
3115,Dairy products,All workers,1990.0,-1.9,96.195
3115,Dairy products,All workers,1991.0,-1.2,95.042
3115,Dairy products,All workers,1992.0,3.7,98.547
3115,Dairy products,All workers,1993.0,-0.4,98.107
3115,Dairy products,All workers,1994.0,-0.3,97.804
3115,Dairy products,All workers,1995.0,1.1,98.872
3115,Dairy products,All workers,1996.0,-1.0,97.861
3115,Dairy products,All workers,1997.0,-0.1,97.769
3115,Dairy products,All workers,1998.0,0.0,97.73
3115,Dairy products,All workers,1999.0,-3.0,94.762
3115,Dairy products,All workers,2000.0,2.5,97.107
3115,Dairy products,All workers,2001.0,0.3,97.436
3115,Dairy products,All workers,2002.0,1.8,99.179
3115,Dairy products,All workers,2003.0,2.0,101.203
3115,Dairy products,All workers,2004.0,3.3,104.545
3115,Dairy products,All workers,2005.0,0.5,105.027
3115,Dairy products,All workers,2006.0,-3.3,101.531
3115,Dairy products,All workers,2007.0,3.3,104.846
3115,Dairy products,All workers,2008.0,-2.9,101.789
3115,Dairy products,All workers,2009.0,4.0,105.881
3115,Dairy products,All workers,2010.0,2.8,108.836
3115,Dairy products,All workers,2011.0,-3.2,105.374
3115,Dairy products,All workers,2012.0,-3.8,101.377
3115,Dairy products,All workers,2013.0,-1.5,99.883
3115,Dairy products,All workers,2014.0,-3.5,96.418
3115,Dairy products,All workers,2015.0,2.3,98.605
3115,Dairy products,All workers,2016.0,2.5,101.107
3115,Dairy products,All workers,2017.0,-1.1,100.0
3115,Dairy products,All workers,2018.0,1.8,101.815
3115,Dairy products,All workers,2019.0,2.0,103.901
3115,Dairy products,All workers,2020.0,0.9,104.875
3115,Dairy products,All workers,2021.0,1.7,106.617
3115,Dairy products,All workers,1987,N.A.,98.972
3115,Dairy products,All workers,2022,N.A.,N.A.
3115,Dairy products,All workers,2023,N.A.,N.A.
3115,Dairy products,All workers,2024,N.A.,N.A.
3115,Dairy products,All workers,Digit,4-Digit,4-Digit
3115,Dairy products,All workers,Sector,Manufacturing,Manufacturing
3116,Animal slaughtering and processing,All workers,1988.0,1.6,84.24
3116,Animal slaughtering and processing,All workers,1989.0,-0.6,83.725
3116,Animal slaughtering and processing,All workers,1990.0,-0.8,83.064
3116,Animal slaughtering and processing,All workers,1991.0,-2.1,81.34
3116,Animal slaughtering and processing,All workers,1992.0,2.4,83.261
3116,Animal slaughtering and processing,All workers,1993.0,1.3,84.345
3116,Animal slaughtering and processing,All workers,1994.0,-0.1,84.254
3116,Animal slaughtering and processing,All workers,1995.0,4.4,87.99
3116,Animal slaughtering and processing,All workers,1996.0,-3.0,85.35
3116,Animal slaughtering and processing,All workers,1997.0,4.9,89.543
3116,Animal slaughtering and processing,All workers,1998.0,1.4,90.785
3116,Animal slaughtering and processing,All workers,1999.0,1.8,92.417
3116,Animal slaughtering and processing,All workers,2000.0,0.0,92.441
3116,Animal slaughtering and processing,All workers,2001.0,-1.5,91.09
3116,Animal slaughtering and processing,All workers,2002.0,2.2,93.088
3116,Animal slaughtering and processing,All workers,2003.0,3.6,96.408
3116,Animal slaughtering and processing,All workers,2004.0,2.8,99.089
3116,Animal slaughtering and processing,All workers,2005.0,4.0,103.083
3116,Animal slaughtering and processing,All workers,2006.0,1.8,104.938
3116,Animal slaughtering and processing,All workers,2007.0,-1.5,103.398
3116,Animal slaughtering and processing,All workers,2008.0,-3.0,100.268
3116,Animal slaughtering and processing,All workers,2009.0,1.0,101.243
3116,Animal slaughtering and processing,All workers,2010.0,-1.4,99.85
3116,Animal slaughtering and processing,All workers,2011.0,-0.7,99.186
3116,Animal slaughtering and processing,All workers,2012.0,-3.0,96.258
3116,Animal slaughtering and processing,All workers,2013.0,1.9,98.104
3116,Animal slaughtering and processing,All workers,2014.0,-0.8,97.356
3116,Animal slaughtering and processing,All workers,2015.0,4.2,101.408
3116,Animal slaughtering and processing,All workers,2016.0,-1.4,100.035
3116,Animal slaughtering and processing,All workers,2017.0,0.0,100.0
3116,Animal slaughtering and processing,All workers,2018.0,4.2,104.188
3116,Animal slaughtering and processing,All workers,2019.0,-5.0,99.001
3116,Animal slaughtering and processing,All workers,2020.0,-2.8,96.258
3116,Animal slaughtering and processing,All workers,2021.0,0.7,96.913
3116,Animal slaughtering and processing,All workers,1987,N.A.,82.893
3116,Animal slaughtering and processing,All workers,2022,N.A.,N.A.
3116,Animal slaughtering and processing,All workers,2023,N.A.,N.A.
3116,Animal slaughtering and processing,All workers,2024,N.A.,N.A.
3116,Animal slaughtering and processing,All workers,Digit,4-Digit,4-Digit
3116,Animal slaughtering and processing,All workers,Sector,Manufacturing,Manufacturing
3117,Seafood product preparation and packaging,All workers,1988.0,-2.2,84.055
3117,Seafood product preparation and packaging,All workers,1989.0,-5.7,79.227
3117,Seafood product preparation and packaging,All workers,1990.0,4.1,82.44
3117,Seafood product preparation and packaging,All workers,1991.0,-0.2,82.241
3117,Seafood product preparation and packaging,All workers,1992.0,3.1,84.772
3117,Seafood product preparation and packaging,All workers,1993.0,6.1,89.916
3117,Seafood product preparation and packaging,All workers,1994.0,0.0,89.901
3117,Seafood product preparation and packaging,All workers,1995.0,-4.3,86.044
3117,Seafood product preparation and packaging,All workers,1996.0,5.6,90.899
3117,Seafood product preparation and packaging,All workers,1997.0,-4.3,86.983
3117,Seafood product preparation and packaging,All workers,1998.0,6.2,92.335
3117,Seafood product preparation and packaging,All workers,1999.0,-5.6,87.122
3117,Seafood product preparation and packaging,All workers,2000.0,4.0,90.626
3117,Seafood product preparation and packaging,All workers,2001.0,5.7,95.803
3117,Seafood product preparation and packaging,All workers,2002.0,-1.6,94.315
3117,Seafood product preparation and packaging,All workers,2003.0,2.3,96.488
3117,Seafood product preparation and packaging,All workers,2004.0,3.0,99.38
3117,Seafood product preparation and packaging,All workers,2005.0,-0.1,99.243
3117,Seafood product preparation and packaging,All workers,2006.0,5.7,104.859
3117,Seafood product preparation and packaging,All workers,2007.0,-1.3,103.463
3117,Seafood product preparation and packaging,All workers,2008.0,-12.1,90.937
3117,Seafood product preparation and packaging,All workers,2009.0,2.0,92.777
3117,Seafood product preparation and packaging,All workers,2010.0,-5.1,88.019
3117,Seafood product preparation and packaging,All workers,2011.0,-1.1,87.041
3117,Seafood product preparation and packaging,All workers,2012.0,0.9,87.865
3117,Seafood product preparation and packaging,All workers,2013.0,6.5,93.574
3117,Seafood product preparation and packaging,All workers,2014.0,6.1,99.31
3117,Seafood product preparation and packaging,All workers,2015.0,6.7,105.97
3117,Seafood product preparation and packaging,All workers,2016.0,2.3,108.392
3117,Seafood product preparation and packaging,All workers,2017.0,-7.7,100.0
3117,Seafood product preparation and packaging,All workers,2018.0,1.8,101.84
3117,Seafood product preparation and packaging,All workers,2019.0,0.7,102.53
3117,Seafood product preparation and packaging,All workers,2020.0,-3.6,98.834
3117,Seafood product preparation and packaging,All workers,2021.0,4.9,103.696
3117,Seafood product preparation and packaging,All workers,1987,N.A.,85.947
3117,Seafood product preparation and packaging,All workers,2022,N.A.,N.A.
3117,Seafood product preparation and packaging,All workers,2023,N.A.,N.A.
3117,Seafood product preparation and packaging,All workers,2024,N.A.,N.A.
3117,Seafood product preparation and packaging,All workers,Digit,4-Digit,4-Digit
3117,Seafood product preparation and packaging,All workers,Sector,Manufacturing,Manufacturing
3118,Bakeries and tortilla manufacturing,All workers,1988.0,-3.7,120.986
3118,Bakeries and tortilla manufacturing,All workers,1989.0,-5.0,114.923
3118,Bakeries and tortilla manufacturing,All workers,1990.0,-2.2,112.342
3118,Bakeries and tortilla manufacturing,All workers,1991.0,-2.4,109.657
3118,Bakeries and tortilla manufacturing,All workers,1992.0,0.7,110.39
3118,Bakeries and tortilla manufacturing,All workers,1993.0,0.4,110.864
3118,Bakeries and tortilla manufacturing,All workers,1994.0,2.6,113.71
3118,Bakeries and tortilla manufacturing,All workers,1995.0,2.9,117.044
3118,Bakeries and tortilla manufacturing,All workers,1996.0,-0.4,116.588
3118,Bakeries and tortilla manufacturing,All workers,1997.0,-1.9,114.379
3118,Bakeries and tortilla manufacturing,All workers,1998.0,-0.3,113.997
3118,Bakeries and tortilla manufacturing,All workers,1999.0,1.4,115.56
3118,Bakeries and tortilla manufacturing,All workers,2000.0,-0.9,114.566
3118,Bakeries and tortilla manufacturing,All workers,2001.0,-1.4,113.013
3118,Bakeries and tortilla manufacturing,All workers,2002.0,0.4,113.409
3118,Bakeries and tortilla manufacturing,All workers,2003.0,0.9,114.477
3118,Bakeries and tortilla manufacturing,All workers,2004.0,6.1,121.455
3118,Bakeries and tortilla manufacturing,All workers,2005.0,0.4,121.939
3118,Bakeries and tortilla manufacturing,All workers,2006.0,-1.3,120.386
3118,Bakeries and tortilla manufacturing,All workers,2007.0,-1.0,119.153
3118,Bakeries and tortilla manufacturing,All workers,2008.0,-6.6,111.239
3118,Bakeries and tortilla manufacturing,All workers,2009.0,-2.2,108.84
3118,Bakeries and tortilla manufacturing,All workers,2010.0,4.6,113.9
3118,Bakeries and tortilla manufacturing,All workers,2011.0,1.0,115.079
3118,Bakeries and tortilla manufacturing,All workers,2012.0,-4.0,110.467
3118,Bakeries and tortilla manufacturing,All workers,2013.0,0.2,110.679
3118,Bakeries and tortilla manufacturing,All workers,2014.0,-1.0,109.553
3118,Bakeries and tortilla manufacturing,All workers,2015.0,-3.7,105.528
3118,Bakeries and tortilla manufacturing,All workers,2016.0,-0.5,104.965
3118,Bakeries and tortilla manufacturing,All workers,2017.0,-4.7,100.0
3118,Bakeries and tortilla manufacturing,All workers,2018.0,-2.1,97.875
3118,Bakeries and tortilla manufacturing,All workers,2019.0,0.2,98.102
3118,Bakeries and tortilla manufacturing,All workers,2020.0,-0.2,97.927
3118,Bakeries and tortilla manufacturing,All workers,2021.0,7.5,105.239
3118,Bakeries and tortilla manufacturing,All workers,1987,N.A.,125.589
3118,Bakeries and tortilla manufacturing,All workers,2022,N.A.,N.A.
3118,Bakeries and tortilla manufacturing,All workers,2023,N.A.,N.A.
3118,Bakeries and tortilla manufacturing,All workers,2024,N.A.,N.A.
3118,Bakeries and tortilla manufacturing,All workers,Digit,4-Digit,4-Digit
3118,Bakeries and tortilla manufacturing,All workers,Sector,Manufacturing,Manufacturing
3119,Other food products,All workers,1988.0,4.1,98.333
3119,Other food products,All workers,1989.0,-6.2,92.266
3119,Other food products,All workers,1990.0,2.6,94.705
3119,Other food products,All workers,1991.0,-2.5,92.346
3119,Other food products,All workers,1992.0,3.7,95.803
3119,Other food products,All workers,1993.0,6.1,101.68
3119,Other food products,All workers,1994.0,-2.1,99.506
3119,Other food products,All workers,1995.0,1.5,100.996
3119,Other food products,All workers,1996.0,2.7,103.702
3119,Other food products,All workers,1997.0,-7.2,96.26
3119,Other food products,All workers,1998.0,0.8,97.053
3119,Other food products,All workers,1999.0,-1.9,95.207
3119,Other food products,All workers,2000.0,1.6,96.75
3119,Other food products,All workers,2001.0,-0.9,95.854
3119,Other food products,All workers,2002.0,4.0,99.719
3119,Other food products,All workers,2003.0,4.4,104.129
3119,Other food products,All workers,2004.0,1.3,105.512
3119,Other food products,All workers,2005.0,-1.4,104.048
3119,Other food products,All workers,2006.0,1.5,105.588
3119,Other food products,All workers,2007.0,1.6,107.318
3119,Other food products,All workers,2008.0,0.1,107.464
3119,Other food products,All workers,2009.0,-2.2,105.08
3119,Other food products,All workers,2010.0,0.7,105.865
3119,Other food products,All workers,2011.0,3.1,109.172
3119,Other food products,All workers,2012.0,-6.2,102.381
3119,Other food products,All workers,2013.0,-0.1,102.301
3119,Other food products,All workers,2014.0,0.9,103.177
3119,Other food products,All workers,2015.0,-6.7,96.315
3119,Other food products,All workers,2016.0,2.7,98.957
3119,Other food products,All workers,2017.0,1.1,100.0
3119,Other food products,All workers,2018.0,-2.6,97.438
3119,Other food products,All workers,2019.0,1.2,98.648
3119,Other food products,All workers,2020.0,-0.5,98.123
3119,Other food products,All workers,2021.0,5.6,103.633
3119,Other food products,All workers,1987,N.A.,94.417
3119,Other food products,All workers,2022,N.A.,N.A.
3119,Other food products,All workers,2023,N.A.,N.A.
3119,Other food products,All workers,2024,N.A.,N.A.
3119,Other food products,All workers,Digit,4-Digit,4-Digit
3119,Other food products,All workers,Sector,Manufacturing,Manufacturing
3121,Beverages,All workers,1988.0,3.5,85.85
3121,Beverages,All workers,1989.0,1.1,86.823
3121,Beverages,All workers,1990.0,-1.6,85.419
3121,Beverages,All workers,1991.0,0.4,85.746
3121,Beverages,All workers,1992.0,0.3,85.965
3121,Beverages,All workers,1993.0,3.1,88.644
3121,Beverages,All workers,1994.0,5.7,93.667
3121,Beverages,All workers,1995.0,0.9,94.493
3121,Beverages,All workers,1996.0,0.3,94.763
3121,Beverages,All workers,1997.0,-2.1,92.736
3121,Beverages,All workers,1998.0,0.9,93.606
3121,Beverages,All workers,1999.0,-2.3,91.448
3121,Beverages,All workers,2000.0,-2.4,89.234
3121,Beverages,All workers,2001.0,1.0,90.082
3121,Beverages,All workers,2002.0,2.8,92.581
3121,Beverages,All workers,2003.0,6.9,98.968
3121,Beverages,All workers,2004.0,1.8,100.756
3121,Beverages,All workers,2005.0,3.4,104.229
3121,Beverages,All workers,2006.0,-2.6,101.497
3121,Beverages,All workers,2007.0,1.4,102.898
3121,Beverages,All workers,2008.0,-2.1,100.689
3121,Beverages,All workers,2009.0,-2.6,98.109
3121,Beverages,All workers,2010.0,3.4,101.433
3121,Beverages,All workers,2011.0,2.5,103.924
3121,Beverages,All workers,2012.0,1.7,105.713
3121,Beverages,All workers,2013.0,0.3,105.985
3121,Beverages,All workers,2014.0,-1.4,104.554
3121,Beverages,All workers,2015.0,0.0,104.59
3121,Beverages,All workers,2016.0,-1.9,102.608
3121,Beverages,All workers,2017.0,-2.5,100.0
3121,Beverages,All workers,2018.0,-1.7,98.293
3121,Beverages,All workers,2019.0,-1.9,96.462
3121,Beverages,All workers,2020.0,-6.7,90.034
3121,Beverages,All workers,2021.0,9.4,98.487
3121,Beverages,All workers,1987,N.A.,82.924
3121,Beverages,All workers,2022,N.A.,N.A.
3121,Beverages,All workers,2023,N.A.,N.A.
3121,Beverages,All workers,2024,N.A.,N.A.
3121,Beverages,All workers,Digit,4-Digit,4-Digit
3121,Beverages,All workers,Sector,Manufacturing,Manufacturing
3122,Tobacco manufacturing,All workers,1988.0,5.3,121.415
3122,Tobacco manufacturing,All workers,1989.0,-1.5,119.571
3122,Tobacco manufacturing,All workers,1990.0,1.3,121.126
3122,Tobacco manufacturing,All workers,1991.0,-5.8,114.161
3122,Tobacco manufacturing,All workers,1992.0,-1.6,112.322
3122,Tobacco manufacturing,All workers,1993.0,-15.0,95.426
3122,Tobacco manufacturing,All workers,1994.0,23.5,117.878
3122,Tobacco manufacturing,All workers,1995.0,12.6,132.788
3122,Tobacco manufacturing,All workers,1996.0,0.9,134.037
3122,Tobacco manufacturing,All workers,1997.0,-3.7,129.137
3122,Tobacco manufacturing,All workers,1998.0,2.2,131.983
3122,Tobacco manufacturing,All workers,1999.0,-5.3,124.929
3122,Tobacco manufacturing,All workers,2000.0,9.3,136.576
3122,Tobacco manufacturing,All workers,2001.0,4.1,142.182
3122,Tobacco manufacturing,All workers,2002.0,-24.3,107.692
3122,Tobacco manufacturing,All workers,2003.0,8.7,117.114
3122,Tobacco manufacturing,All workers,2004.0,2.5,120.067
3122,Tobacco manufacturing,All workers,2005.0,9.6,131.609
3122,Tobacco manufacturing,All workers,2006.0,1.3,133.321
3122,Tobacco manufacturing,All workers,2007.0,-4.7,127.041
3122,Tobacco manufacturing,All workers,2008.0,-6.2,119.192
3122,Tobacco manufacturing,All workers,2009.0,-6.0,112.065
3122,Tobacco manufacturing,All workers,2010.0,1.4,113.61
3122,Tobacco manufacturing,All workers,2011.0,-4.4,108.561
3122,Tobacco manufacturing,All workers,2012.0,-4.7,103.476
3122,Tobacco manufacturing,All workers,2013.0,-2.3,101.094
3122,Tobacco manufacturing,All workers,2014.0,-9.4,91.579
3122,Tobacco manufacturing,All workers,2015.0,3.4,94.697
3122,Tobacco manufacturing,All workers,2016.0,-4.8,90.134
3122,Tobacco manufacturing,All workers,2017.0,10.9,100.0
3122,Tobacco manufacturing,All workers,2018.0,-3.7,96.333
3122,Tobacco manufacturing,All workers,2019.0,-2.4,93.974
3122,Tobacco manufacturing,All workers,2020.0,2.9,96.684
3122,Tobacco manufacturing,All workers,2021.0,0.0,96.675
3122,Tobacco manufacturing,All workers,1987,N.A.,115.343
3122,Tobacco manufacturing,All workers,2022,N.A.,N.A.
3122,Tobacco manufacturing,All workers,2023,N.A.,N.A.
3122,Tobacco manufacturing,All workers,2024,N.A.,N.A.
3122,Tobacco manufacturing,All workers,Digit,4-Digit,4-Digit
3122,Tobacco manufacturing,All workers,Sector,Manufacturing,Manufacturing
3131,"Fiber, yarn, and thread mills",All workers,1988.0,0.3,70.222
3131,"Fiber, yarn, and thread mills",All workers,1989.0,3.6,72.753
3131,"Fiber, yarn, and thread mills",All workers,1990.0,0.1,72.842
3131,"Fiber, yarn, and thread mills",All workers,1991.0,-4.0,69.936
