year,vcnaics3,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,443,28411,38066,210506,198389,6007,16.119,4408,11.828,56991,25447,31544,12.827,28.727,32947,16275,16672,8.204,16.607,24044,12.120,33.215,2858,2931,9753
1978,444,69789,87231,767973,733866,9773,11.401,6747,7.871,163015,58191,104824,7.929,22.213,94868,36730,58138,5.005,12.927,68147,9.286,25.854,4617,4670,19533
1978,445,114030,155821,1830947,1772342,20248,13.022,19583,12.595,384480,158121,226359,8.922,21.693,267335,119648,147687,6.751,15.084,117145,6.610,30.167,13386,13597,58138
1978,446,44180,59791,525797,515428,6924,11.795,4751,8.093,99241,38908,60333,7.549,19.254,79016,35228,43788,6.835,15.330,20225,3.924,30.660,2865,2938,13988
1978,447,124389,162658,938140,905936,22548,13.682,26839,16.285,264149,105682,158467,11.666,29.158,199924,104699,95225,11.557,22.068,64225,7.089,44.136,18371,18668,63752
1978,448,86768,142156,1040329,1008192,20453,14.610,16123,11.517,255410,108199,147211,10.732,25.333,191053,89976,101077,8.924,18.950,64357,6.383,37.900,8891,9349,40218
1978,451,37471,47379,279749,266503,8897,19.247,6588,14.252,80421,36691,43730,13.768,30.176,53837,25996,27841,9.755,20.201,26584,9.975,40.403,4480,4552,16096
1978,452,17014,38876,1937934,1899620,3610,9.244,3963,10.148,286276,101863,184413,5.362,15.070,211826,67361,144465,3.546,11.151,74450,3.919,22.302,2084,2152,11566
1978,453,65946,75478,374613,353494,13637,18.522,9934,13.492,111787,45991,65796,13.010,31.623,69505,35189,34316,9.955,19.662,42282,11.961,39.325,7099,7230,21188
1978,454,27069,35609,364294,363044,4103,11.580,3749,10.581,72521,23971,48550,6.603,19.976,69699,29919,39780,8.241,19.199,2822,0.777,38.397,2473,2495,12395
1978,481,1217,2628,277535,266007,354,13.499,343,13.079,43921,4898,39023,1.841,16.511,20620,4033,16587,1.516,7.752,23301,8.760,15.503,139,140,1183
1978,483,887,1239,54072,53401,155,12.490,159,12.812,12332,4682,7650,8.768,23.093,10862,5677,5185,10.631,20.340,1470,2.753,40.681,84,98,2364
1978,484,58586,67512,1045547,1002115,12256,18.444,10135,15.252,254554,81625,172929,8.145,25.402,167301,68205,99096,6.806,16.695,87253,8.707,33.390,7551,7563,29913
1978,485,11938,12676,241682,239460,1876,14.890,1722,13.668,48477,15033,33444,6.278,20.244,43846,19688,24158,8.222,18.310,4631,1.934,36.621,1401,1408,12966
1978,486,306,1457,67366,63428,196,13.911,100,7.097,14040,7082,6958,11.165,22.135,6237,3185,3052,5.021,9.833,7803,12.302,19.666,13,13,137
1978,487,935,953,12004,11075,177,18.780,156,16.552,3889,844,3045,7.621,35.115,1986,822,1164,7.422,17.932,1903,17.183,35.865,122,122,492
1978,488,9775,13095,304260,287191,2067,16.176,1433,11.215,88438,33256,55182,11.580,30.794,54601,20773,33828,7.233,19.012,33837,11.782,38.024,888,900,6638
1978,492,1984,2418,56529,54706,551,22.712,567,23.372,11712,3121,8591,5.705,21.409,8247,2383,5864,4.356,15.075,3465,6.334,30.151,459,459,1560
1978,493,5473,8580,373385,364013,830,9.787,632,7.452,68820,16837,51983,4.625,18.906,50209,11821,38388,3.247,13.793,18611,5.113,27.586,249,250,1568
1978,511,15406,17425,617775,600865,2638,15.527,1767,10.401,84774,21946,62828,3.652,14.109,51436,21634,29802,3.600,8.560,33338,5.548,17.121,1216,1222,8971
1978,512,8861,14236,187472,187451,2384,16.776,2334,16.424,53830,20395,33435,10.880,28.717,53268,28225,25043,15.057,28.417,562,0.300,56.834,1198,1284,10267
1978,515,5172,6061,170986,163650,567,9.503,378,6.335,29188,9169,20019,5.603,17.836,14580,5406,9174,3.303,8.909,14608,8.926,17.819,275,280,3351
1978,517,3049,17004,996749,971372,926,5.475,745,4.405,158515,13699,144816,1.410,16.319,107033,6986,100047,0.719,11.019,51482,5.300,22.037,185,189,1626
1978,518,4500,5962,165957,158145,1141,19.783,752,13.039,42875,16555,26320,10.468,27.111,27289,13615,13674,8.609,17.256,15586,9.856,34.511,400,410,4365
1978,519,1916,2296,25397,26154,262,11.736,135,6.047,4757,1277,3480,4.883,18.188,6125,4582,1543,17.519,23.419,-1368,-5.231,36.377,93,93,3667
1978,521,20,50,23489,23807,0,0.000,0,0.000,1081,0,1081,0.000,4.541,1697,0,1697,0.000,7.128,-616,-2.588,9.082,0,0,0
1978,522,46653,103969,1903773,1843611,8214,8.036,4705,4.603,296805,74347,222458,4.033,16.099,176124,42678,133446,2.315,9.553,120681,6.546,19.106,1789,1811,11616
1978,523,12071,15916,222970,224899,2846,18.256,2192,14.061,48098,14661,33437,6.519,21.386,51422,19916,31506,8.856,22.864,-3324,-1.478,42.773,1425,1489,8126
1978,524,87934,113098,1948762,1883269,14048,12.696,9151,8.270,332926,78297,254629,4.158,17.678,200655,71918,128737,3.819,10.655,132271,7.023,21.309,5419,5434,17419
1978,525,564,770,6770,6755,53,6.739,86,10.935,1250,243,1007,3.598,18.506,1191,428,763,6.337,17.633,59,0.873,35.265,49,49,253
1978,531,151103,154938,805583,768847,25683,16.862,20438,13.418,226677,93589,133088,12.173,29.483,152179,74460,77719,9.685,19.793,74498,9.690,39.586,16359,16379,49114
1978,532,17417,22189,206840,198786,4742,22.343,2812,13.249,62876,27074,35802,13.620,31.630,46375,19436,26939,9.777,23.329,16501,8.301,46.658,1805,1838,9169
1978,533,836,962,12025,12245,188,20.215,124,13.333,3956,1470,2486,12.005,32.308,4465,1829,2636,14.937,36.465,-509,-4.157,64.617,84,84,310
1978,541,234677,250085,2217643,2115461,42345,17.546,24854,10.298,534296,197486,336810,9.335,25.257,330533,149600,180933,7.072,15.625,203763,9.632,31.249,17483,17751,95606
1978,551,18993,36128,2428735,2362628,3944,11.034,3177,8.888,524500,138903,385597,5.879,22.200,391529,97797,293732,4.139,16.572,132971,5.628,33.144,400,431,4528
1978,561,98988,110981,1805418,1686283,24703,23.301,14774,13.936,583507,196104,387403,11.629,34.603,346221,123966,222255,7.351,20.532,237286,14.072,41.063,10962,11043,67100
1978,562,10223,10890,156506,148130,1729,16.192,1305,12.221,36541,10798,25743,7.290,24.668,19922,9205,10717,6.214,13.449,16619,11.219,26.898,976,976,5350
1978,611,30432,32424,1282237,1211637,4458,14.044,3098,9.759,272273,33454,238819,2.761,22.472,134005,64316,69689,5.308,11.060,138268,11.412,22.120,2260,2292,48802
1978,621,256825,266316,1393978,1322209,29336,11.319,15040,5.803,317897,113316,204581,8.570,24.043,173668,63123,110545,4.774,13.135,144229,10.908,26.269,11173,11262,43380
1978,622,4609,5584,2683227,2600746,232,4.185,151,2.724,246671,28924,217747,1.112,9.485,81034,28891,52143,1.111,3.116,165637,6.369,6.232,85,88,13869
1978,623,18170,23304,1111974,1062798,3228,14.272,1857,8.210,224926,81778,143148,7.695,21.164,126307,68168,58139,6.414,11.884,98619,9.279,23.769,1145,1191,38748
1978,624,35643,45464,656385,593951,8063,18.516,4228,9.709,218411,67668,150743,11.393,36.773,93618,32688,60930,5.503,15.762,124793,21.011,31.524,2305,2342,12267
1978,711,12165,12457,165548,157965,3129,26.218,2084,17.462,53381,21251,32130,13.453,33.793,38278,15814,22464,10.011,24.232,15103,9.561,48.464,1492,1501,8409
1978,712,1715,1839,29406,27792,221,12.402,107,6.004,5998,1558,4440,5.606,21.582,2681,479,2202,1.724,9.647,3317,11.935,19.294,60,61,285
1978,713,28826,30410,455989,429031,4319,14.510,3029,10.176,108853,37317,71536,8.698,25.372,55186,19529,35657,4.552,12.863,53667,12.509,25.726,2304,2312,13726
1978,721,38047,42094,991762,947555,6002,14.307,5717,13.628,250055,103935,146120,10.969,26.390,161545,86746,74799,9.155,17.049,88510,9.341,34.097,4152,4191,52943
1978,722,248380,299947,4226396,3988844,55696,18.826,47508,16.058,1269337,673296,596041,16.879,31.822,791780,397852,393928,9.974,19.850,477557,11.972,39.700,34032,34566,247776
1978,811,128074,135298,724338,686697,24052,18.186,17966,13.584,192676,80709,111967,11.753,28.058,116661,56884,59777,8.284,16.989,76015,11.070,33.977,13790,13849,39907
1978,812,143843,164336,1000558,981851,23230,14.233,20985,12.857,228570,91907,136663,9.361,23.280,190027,84039,105988,8.559,19.354,38543,3.926,38.708,15155,15408,54368
1978,813,158632,164195,1439838,1352068,14997,9.329,8121,5.052,342477,68541,273936,5.069,25.330,167023,38597,128426,2.855,12.353,175454,12.977,24.706,4829,4861,20017
1979,113,11996,12146,106164,105580,2180,17.965,2157,17.776,25283,9549,15734,9.044,23.947,24143,9733,14410,9.219,22.867,1140,1.080,45.734,1577,1578,6849
1979,114,1613,1655,11510,11079,324,19.454,345,20.715,4634,1530,3104,13.810,41.827,3745,1369,2376,12.357,33.803,889,8.024,67.605,250,250,947
1979,115,6423,6832,68220,69889,1108,16.170,1148,16.754,20159,8358,11801,11.959,28.845,23682,9505,14177,13.600,33.885,-3523,-5.041,57.689,791,834,6115
1979,211,5634,7418,128743,124008,1047,14.505,647,8.964,24636,6824,17812,5.503,19.866,15384,5642,9742,4.550,12.406,9252,7.461,24.811,349,353,2112
1979,212,7135,9688,443190,407608,1414,14.617,1385,14.317,122385,23523,98862,5.771,30.025,51711,21748,29963,5.336,12.686,70674,17.339,25.373,855,862,8215
1979,213,7314,8485,247775,233658,1729,21.189,1079,13.223,71336,23313,48023,9.977,30.530,42526,18216,24310,7.796,18.200,28810,12.330,36.400,665,670,8774
1979,221,5947,12131,683736,672011,789,6.570,545,4.538,62484,21587,40897,3.212,9.298,39494,8065,31429,1.200,5.877,22990,3.421,11.754,213,213,897
1979,236,143710,144721,1326206,1255438,33049,23.548,24297,17.312,450646,149746,300900,11.928,35.896,309902,109634,200268,8.733,24.685,140744,11.211,49.370,18916,18917,84249
1979,237,35875,36869,759368,732869,5730,15.817,4447,12.275,201916,43738,158178,5.968,27.551,148092,36633,111459,4.999,20.207,53824,7.344,40.414,3297,3303,21455
1979,238,269395,272388,2497096,2366952,46022,17.243,35036,13.127,730877,197136,533741,8.329,30.878,470427,159407,311020,6.735,19.875,260450,11.004,39.750,27397,27416,118583
1979,311,20993,27150,1399212,1393089,2236,8.168,2689,9.822,167506,38337,129169,2.752,12.024,155105,49429,105676,3.548,11.134,12401,0.890,22.268,1741,1770,20045
1979,312,2358,3037,237451,235411,184,5.965,279,9.045,25789,5080,20709,2.158,10.955,21446,7454,13992,3.166,9.110,4343,1.845,18.220,165,166,2186
1979,313,5367,6737,651547,655124,489,7.288,435,6.483,51101,11125,39976,1.698,7.800,57664,17652,40012,2.694,8.802,-6563,-1.002,15.600,240,245,6028
1979,314,7918,8385,272413,271497,1096,13.207,923,11.122,40586,13507,27079,4.975,14.949,38823,12232,26591,4.505,14.300,1763,0.649,28.599,691,692,7163
1979,315,16361,18670,1221160,1229504,2242,11.973,2354,12.571,168312,55022,113290,4.475,13.689,185404,68525,116879,5.573,15.080,-17092,-1.390,27.379,1708,1721,35944
1979,316,2241,2645,245862,248799,211,7.864,287,10.697,26347,4669,21678,1.877,10.590,32370,8821,23549,3.545,13.011,-6023,-2.421,21.179,189,189,3534
1979,321,14792,16700,588626,582814,2084,12.586,1801,10.877,88166,25517,62649,4.378,15.128,76149,24261,51888,4.163,13.066,12017,2.062,26.131,1237,1250,12777
1979,322,3721,5826,630345,628392,327,5.596,361,6.178,51495,11175,40320,1.778,8.195,46985,12812,34173,2.039,7.477,4510,0.718,14.954,203,204,3884
1979,323,29722,31053,632900,618240,3328,10.766,3047,9.857,90940,22256,68684,3.600,14.710,61459,25784,35675,4.171,9.941,29481,4.769,19.882,2153,2169,13193
1979,324,1274,2096,155333,152312,201,9.703,152,7.338,13785,3437,10348,2.257,9.051,7768,1425,6343,0.936,5.100,6017,3.950,10.200,68,68,582
1979,325,7703,11329,983385,973246,882,7.768,932,8.209,88113,19006,69107,1.953,9.054,67748,17725,50023,1.821,6.961,20365,2.092,13.922,463,467,4030
1979,326,10788,12704,792595,773253,1400,11.218,952,7.628,114459,23446,91013,3.032,14.802,75619,22446,53173,2.903,9.779,38840,5.023,19.559,591,599,9456
1979,327,12121,15177,604247,595545,1325,8.694,1453,9.533,80504,16837,63667,2.827,13.518,62917,20020,42897,3.362,10.565,17587,2.953,21.129,929,981,8080
1979,331,4535,5747,1100844,1080553,382,6.637,399,6.932,107633,21545,86088,1.994,9.961,68141,22367,45774,2.070,6.306,39492,3.655,12.612,215,215,3371
1979,332,44158,48034,1862173,1803494,4871,10.251,3833,8.067,273713,50584,223129,2.805,15.177,156371,53533,102838,2.968,8.670,117342,6.506,17.341,2464,2472,22524
1979,333,24983,27790,1874994,1809218,2406,8.715,2042,7.396,259676,47304,212372,2.615,14.353,127838,46836,81002,2.589,7.066,131838,7.287,14.132,1248,1249,12021
1979,334,9643,11272,1611533,1543867,1443,12.989,1118,10.063,247268,51721,195547,3.350,16.016,111563,39786,71777,2.577,7.226,135705,8.790,14.452,677,680,13953
1979,335,4832,6066,773648,762506,525,8.644,540,8.891,92150,20544,71606,2.694,12.085,69606,20266,49340,2.658,9.129,22544,2.957,18.257,298,298,4975
1979,336,7896,9481,2226386,2142392,1023,10.765,1067,11.228,275243,29984,245259,1.400,12.847,106437,25028,81409,1.168,4.968,168806,7.879,9.936,708,710,8657
1979,337,15157,16090,562626,555084,1955,12.230,1745,10.916,79345,17767,61578,3.201,14.294,64172,23645,40527,4.260,11.561,15173,2.733,23.122,1274,1280,14223
1979,339,22521,23756,685971,678989,2843,11.967,2844,11.971,103435,23937,79498,3.525,15.234,89393,30519,58874,4.495,13.166,14042,2.068,26.331,2047,2053,14343
1979,423,136779,176197,2256163,2177901,20590,11.881,14804,8.542,428081,134950,293131,6.196,19.656,272243,104437,167806,4.795,12.500,155838,7.155,25.000,9297,9452,47127
1979,424,90635,115794,1552845,1534527,11768,10.188,11205,9.700,275232,83539,191693,5.444,17.936,237823,92654,145169,6.038,15.498,37409,2.438,30.996,7142,7266,41725
1979,425,24765,27369,278877,270708,3261,12.170,2115,7.893,52916,17221,35695,6.361,19.547,36575,12430,24145,4.592,13.511,16341,6.036,27.022,1366,1368,6293
1979,441,95336,112042,1429216,1393455,11201,10.060,9809,8.809,226304,67672,158632,4.856,16.240,154710,59413,95297,4.264,11.103,71594,5.138,22.205,7268,7386,43096
1979,442,43206,49594,352619,342950,6781,13.943,4858,9.989,72785,28378,44407,8.275,21.223,53442,20749,32693,6.050,15.583,19343,5.640,31.166,3658,3718,14509
1979,443,28273,38200,223241,216956,4638,12.233,4064,10.719,48319,19077,29242,8.793,22.271,35641,14989,20652,6.909,16.428,12678,5.844,32.856,2748,2825,9535
1979,444,71120,88930,822463,797204,8489,9.651,6551,7.448,147612,46611,101001,5.847,18.516,97122,32673,64449,4.098,12.183,50490,6.333,24.366,4555,4617,20025
1979,445,114542,156307,1937452,1886262,18747,12.013,18248,11.693,362051,150570,211481,7.982,19.194,257790,110186,147604,5.842,13.667,104261,5.527,27.333,12466,12702,54391
1979,446,45857,62808,562150,544919,6987,11.381,4152,6.763,100251,37875,62376,6.951,18.397,64696,21548,43148,3.954,11.873,35555,6.525,23.745,2823,2858,12991
1979,447,120320,158387,929816,935863,18884,11.746,23645,14.708,211565,87039,124526,9.300,22.606,223420,98742,124678,10.551,23.873,-11855,-1.267,45.213,16162,16401,61966
1979,448,89564,148882,1095874,1070698,19247,13.200,13114,8.994,230596,100058,130538,9.345,21.537,180716,59037,121679,5.514,16.878,49880,4.659,33.757,8213,8492,32683
1979,451,39149,49599,302835,292347,7982,16.417,6025,12.392,73920,31734,42186,10.855,25.285,53043,21320,31723,7.293,18.144,20877,7.141,36.288,4314,4530,14037
1979,452,17313,39152,1971111,1956236,3569,9.117,3555,9.082,231297,104223,127074,5.328,11.824,198543,44745,153798,2.287,10.149,32754,1.674,20.298,1782,1855,8391
1979,453,69801,79763,404386,390421,13445,17.311,9254,11.915,101691,44034,57657,11.279,26.046,73760,29422,44338,7.536,18.892,27931,7.154,37.785,6911,7002,20841
1979,454,27983,36686,390947,379005,3913,10.732,3463,9.498,75763,24821,50942,6.549,19.990,51737,19346,32391,5.104,13.651,24026,6.339,27.302,2507,2538,10552
1979,481,1324,2813,306654,292183,412,15.136,230,8.450,37826,5872,31954,2.010,12.946,9186,3103,6083,1.062,3.144,28640,9.802,6.288,136,136,727
1979,483,852,1194,53255,52533,148,12.437,140,11.765,13085,4960,8125,9.442,24.908,11587,3931,7656,7.483,22.057,1498,2.852,44.113,65,65,420
1979,484,60324,69484,1128987,1085475,12651,18.602,9699,14.262,234514,71290,163224,6.568,21.605,147925,53603,94322,4.938,13.628,86589,7.977,27.255,7459,7474,32746
1979,485,12156,12915,247919,244442,1738,13.512,1634,12.703,43580,12500,31080,5.114,17.828,36729,12655,24074,5.177,15.026,6851,2.803,30.051,1378,1383,10352
1979,486,347,1567,70401,69311,137,9.004,46,3.023,7093,2775,4318,4.004,10.234,5015,1086,3929,1.567,7.236,2078,2.998,14.471,13,13,176
1979,487,939,959,10542,10752,185,19.629,152,16.127,2582,969,1613,9.012,24.014,3010,1037,1973,9.645,27.995,-428,-3.981,48.028,123,123,774
1979,488,10941,14294,323705,316533,2278,16.438,1407,10.153,75252,22831,52421,7.213,23.774,60023,14463,45560,4.569,18.963,15229,4.811,37.925,888,906,6030
1979,492,1745,2226,61916,58490,622,28.611,518,23.827,11696,3594,8102,6.145,19.997,4938,2350,2588,4.018,8.443,6758,11.554,16.885,444,444,1978
1979,493,6017,9235,395380,385736,878,9.659,587,6.458,70925,23787,47138,6.167,18.387,51435,11195,40240,2.902,13.334,19490,5.053,26.668,230,230,1685
1979,511,16140,18503,660887,642466,3087,17.241,1891,10.561,92683,29637,63046,4.613,14.426,55640,19228,36412,2.993,8.660,37043,5.766,17.321,1337,1341,10381
1979,512,9499,14811,203885,197411,2264,15.476,1900,12.988,59111,18479,40632,9.361,29.943,45730,15400,30330,7.801,23.165,13381,6.778,46.330,997,1017,6710
1979,515,5369,6297,178884,175164,636,10.270,428,6.911,26783,9835,16948,5.615,15.290,19318,6271,13047,3.580,11.029,7465,4.262,22.057,307,308,3907
1979,517,3331,16590,1029497,1014263,729,4.334,1192,7.086,187617,6128,181489,0.604,18.498,157391,27362,130029,2.698,15.518,30226,2.980,31.036,271,271,1514
1979,518,4836,6296,180443,172880,1059,17.229,760,12.365,41695,16250,25445,9.400,24.118,26863,13889,12974,8.034,15.539,14832,8.579,31.077,376,378,2820
1979,519,2010,2395,26767,26128,266,11.372,154,6.584,3994,1337,2657,5.117,15.286,2753,820,1933,3.138,10.537,1241,4.750,21.073,110,110,644
1979,521,19,48,23505,23472,0,0.000,0,0.000,647,0,647,0.000,2.756,629,0,629,0.000,2.680,18,0.077,5.360,0,0,0
1979,522,47421,108272,2029651,1971644,7991,7.519,3994,3.758,249050,72807,176243,3.693,12.632,133061,29268,103793,1.484,6.749,115989,5.883,13.497,1998,2015,11027
1979,523,13242,17388,252593,240891,3120,18.559,1966,11.695,58222,19487,38735,8.090,24.169,35056,15724,19332,6.527,14.553,23166,9.617,29.105,1365,1365,5169
1979,524,92059,119936,2140405,2042726,15381,13.185,8822,7.562,416103,102582,313521,5.022,20.370,221123,56243,164880,2.753,10.825,194980,9.545,21.650,5582,5614,20810
1979,525,593,798,6936,6917,70,8.766,71,8.892,1520,279,1241,4.034,21.975,1413,429,984,6.202,20.428,107,1.547,40.856,28,28,75
1979,531,159783,163709,870067,841215,26983,16.816,20489,12.769,228310,96350,131960,11.454,27.141,170323,75310,95013,8.953,20.247,57987,6.893,40.495,16493,16524,53634
1979,532,18518,24461,245493,226690,4995,21.419,2713,11.634,76573,27288,49285,12.038,33.779,39700,16669,23031,7.353,17.513,36873,16.266,35.026,1847,1864,9335
1979,533,875,934,10303,11029,154,16.117,197,20.617,2994,1255,1739,11.379,27.147,4588,3212,1376,29.123,41.599,-1594,-14.453,54.293,101,103,406
1979,541,252616,268576,2447778,2338143,44477,17.120,26928,10.365,536671,194067,342604,8.300,22.953,316215,126175,190040,5.396,13.524,220456,9.429,27.048,19670,19867,79234
1979,551,20026,37773,2573911,2501924,4305,11.619,2862,7.724,463418,144587,318831,5.779,18.522,317598,78274,239324,3.129,12.694,145820,5.828,25.388,424,429,4563
1979,561,108075,121028,2035788,1923601,26050,22.506,15485,13.378,590650,200224,390426,10.409,30.705,366441,120318,246123,6.255,19.050,224209,11.656,38.099,11720,11793,71347
1979,562,10874,11587,174533,165990,1747,15.404,1255,11.066,37787,10102,27685,6.086,22.765,20746,8414,12332,5.069,12.498,17041,10.266,24.997,955,956,5355
1979,611,31267,33268,1322093,1270503,4198,12.804,3233,9.861,205024,29451,175573,2.318,16.137,100969,22803,78166,1.795,7.947,104055,8.190,15.894,2437,2472,14789
1979,621,269656,279695,1521797,1458247,28754,10.527,15649,5.729,307838,114666,193172,7.863,21.110,181459,59851,121608,4.104,12.444,126379,8.667,24.887,11613,11680,41847
1979,622,4804,5816,2789297,2733629,213,3.657,230,3.949,219946,29006,190940,1.061,8.046,109616,38909,70707,1.423,4.010,110330,4.036,8.020,142,145,22898
